"state_name","latitude","longitude","AQI"
"Alabama",33.06881245,-86.87619655,148
"Alabama",33.06881245,-86.87619655,2
"Alabama",33.06881245,-86.87619655,18
"Alabama",33.06881245,-86.87619655,17
"Alabama",33.06881245,-86.87619655,11
"Alabama",33.06881245,-86.87619655,136
"Alabama",33.06881245,-86.87619655,4
"Alabama",33.06881245,-86.87619655,175
"Alabama",33.06881245,-86.87619655,49
"Alabama",33.06881245,-86.87619655,20
"Alabama",33.06881245,-86.87619655,9
"Alabama",33.06881245,-86.87619655,1
"Alabama",33.06881245,-86.87619655,29
"Alabama",33.06881245,-86.87619655,3
"Alabama",33.06881245,-86.87619655,37
"Alabama",33.06881245,-86.87619655,22
"Alabama",33.06881245,-86.87619655,79
"Alabama",33.06881245,-86.87619655,137
"Alabama",33.06881245,-86.87619655,9
"Alabama",33.06881245,-86.87619655,96
"Alabama",33.06881245,-86.87619655,22
"Alabama",33.06881245,-86.87619655,4
"Alabama",33.06881245,-86.87619655,21
"Alabama",33.06881245,-86.87619655,12
"Alabama",33.06881245,-86.87619655,14
"Alabama",33.06881245,-86.87619655,32
"Alabama",33.06881245,-86.87619655,6
"Alabama",33.06881245,-86.87619655,13
"Alabama",33.06881245,-86.87619655,26
"Alabama",33.06881245,-86.87619655,8
"Alabama",33.06881245,-86.87619655,29
"Alabama",33.06881245,-86.87619655,143
"Alabama",33.06881245,-86.87619655,301
"Alabama",33.06881245,-86.87619655,29
"Alabama",33.06881245,-86.87619655,55
"Alabama",33.06881245,-86.87619655,63
"Alabama",33.06881245,-86.87619655,5
"Alabama",33.06881245,-86.87619655,70
"Alabama",33.06881245,-86.87619655,92
"Alabama",33.06881245,-86.87619655,34
"Alabama",33.06881245,-86.87619655,97
"Alabama",33.06881245,-86.87619655,12
"Alabama",33.06881245,-86.87619655,2
"Alabama",33.06881245,-86.87619655,9
"Alabama",33.06881245,-86.87619655,13
"Alabama",33.06881245,-86.87619655,2
"Alabama",33.06881245,-86.87619655,21
"Alabama",33.06881245,-86.87619655,6
"Alabama",33.06881245,-86.87619655,39
"Alabama",33.06881245,-86.87619655,52
"Alabama",33.06881245,-86.87619655,497
"Alabama",33.06881245,-86.87619655,24
"Alabama",33.06881245,-86.87619655,4
"Alabama",33.06881245,-86.87619655,10
"Alabama",33.06881245,-86.87619655,81
"Alabama",33.06881245,-86.87619655,5
"Alabama",33.06881245,-86.87619655,3
"Alabama",33.06881245,-86.87619655,923
"Alabama",33.06881245,-86.87619655,102
"Alabama",33.06881245,-86.87619655,20
"Alabama",33.06881245,-86.87619655,23
"Alabama",33.06881245,-86.87619655,21
"Alabama",33.06881245,-86.87619655,289
"Alabama",33.06881245,-86.87619655,16
"Alabama",33.06881245,-86.87619655,33
"Alaska",64.284445,-148.3475065,10
"Alaska",64.284445,-148.3475065,5
"Alaska",64.284445,-148.3475065,33
"Alaska",64.284445,-148.3475065,27
"Alaska",64.284445,-148.3475065,1
"Alaska",64.284445,-148.3475065,19
"Alaska",64.284445,-148.3475065,3
"Alaska",64.284445,-148.3475065,8
"Alaska",64.284445,-148.3475065,13
"Alaska",64.284445,-148.3475065,4
"Alaska",64.284445,-148.3475065,3
"Alaska",64.284445,-148.3475065,1
"Alaska",64.284445,-148.3475065,10
"Alaska",64.284445,-148.3475065,28
"Alaska",64.284445,-148.3475065,8
"Alaska",64.284445,-148.3475065,27
"Alaska",64.284445,-148.3475065,22
"Alaska",64.284445,-148.3475065,62
"Alaska",64.284445,-148.3475065,4
"Alaska",64.284445,-148.3475065,282
"Alaska",64.284445,-148.3475065,4
"Alaska",64.284445,-148.3475065,16
"Alaska",64.284445,-148.3475065,122
"Alaska",64.284445,-148.3475065,1
"Alaska",64.284445,-148.3475065,4
"Alaska",64.284445,-148.3475065,8
"Alaska",64.284445,-148.3475065,12
"Alaska",64.284445,-148.3475065,29
"Alaska",64.284445,-148.3475065,16
"Alaska",64.284445,-148.3475065,15
"Alaska",64.284445,-148.3475065,1
"Alaska",64.284445,-148.3475065,7
"Alaska",64.284445,-148.3475065,5
"Alaska",64.284445,-148.3475065,32
"Alaska",64.284445,-148.3475065,9
"Alaska",64.284445,-148.3475065,29
"Alaska",64.284445,-148.3475065,3
"Alaska",64.284445,-148.3475065,12
"Alaska",64.284445,-148.3475065,15
"Alaska",64.284445,-148.3475065,6
"Alaska",64.284445,-148.3475065,128
"Alaska",64.284445,-148.3475065,34
"Alaska",64.284445,-148.3475065,14
"Alaska",64.284445,-148.3475065,4
"Alaska",64.284445,-148.3475065,18
"Alaska",64.284445,-148.3475065,22
"Alaska",64.284445,-148.3475065,123
"Alaska",64.284445,-148.3475065,1
"Alaska",64.284445,-148.3475065,2
"Alaska",64.284445,-148.3475065,4
"Alaska",64.284445,-148.3475065,7
"Alaska",64.284445,-148.3475065,10
"Alaska",64.284445,-148.3475065,10
"Alaska",64.284445,-148.3475065,8
"Alaska",64.284445,-148.3475065,6
"Alaska",64.284445,-148.3475065,8
"Alaska",64.284445,-148.3475065,26
"Alaska",64.284445,-148.3475065,3
"Alaska",64.284445,-148.3475065,6
"Alaska",64.284445,-148.3475065,10
"Alaska",64.284445,-148.3475065,20
"Alaska",64.284445,-148.3475065,34
"Alaska",64.284445,-148.3475065,24
"Alaska",64.284445,-148.3475065,22
"Alaska",64.284445,-148.3475065,4
"Alaska",64.284445,-148.3475065,13
"Alaska",64.284445,-148.3475065,22
"Alaska",64.284445,-148.3475065,46
"Alaska",64.284445,-148.3475065,1
"Alaska",64.284445,-148.3475065,1
"Alaska",64.284445,-148.3475065,11
"Alaska",64.284445,-148.3475065,23
"Alaska",64.284445,-148.3475065,14
"Alaska",64.284445,-148.3475065,18
"Alaska",64.284445,-148.3475065,11
"Alaska",64.284445,-148.3475065,13
"Alaska",64.284445,-148.3475065,11
"Alaska",64.284445,-148.3475065,3
"Alaska",64.284445,-148.3475065,25
"Alaska",64.284445,-148.3475065,66
"Alaska",64.284445,-148.3475065,13
"Alaska",64.284445,-148.3475065,3
"Alaska",64.284445,-148.3475065,7
"Alaska",64.284445,-148.3475065,37
"Alaska",64.284445,-148.3475065,24
"Alaska",64.284445,-148.3475065,12
"Alaska",64.284445,-148.3475065,53
"Alaska",64.284445,-148.3475065,36
"Alaska",64.284445,-148.3475065,1
"Alaska",64.284445,-148.3475065,12
"Alaska",64.284445,-148.3475065,1
"Alaska",64.284445,-148.3475065,8
"Alaska",64.284445,-148.3475065,1
"Alaska",64.284445,-148.3475065,72
"Alaska",64.284445,-148.3475065,23
"Alaska",64.284445,-148.3475065,17
"Alaska",64.284445,-148.3475065,30
"Arizona",33.3429790869565,-111.720570347826,49
"Arizona",33.3429790869565,-111.720570347826,28
"Arizona",33.3429790869565,-111.720570347826,19
"Arizona",33.3429790869565,-111.720570347826,120
"Arizona",33.3429790869565,-111.720570347826,73
"Arizona",33.3429790869565,-111.720570347826,46
"Arizona",33.3429790869565,-111.720570347826,14
"Arizona",33.3429790869565,-111.720570347826,27
"Arizona",33.3429790869565,-111.720570347826,18
"Arizona",33.3429790869565,-111.720570347826,63
"Arizona",33.3429790869565,-111.720570347826,11
"Arizona",33.3429790869565,-111.720570347826,15
"Arizona",33.3429790869565,-111.720570347826,55
"Arizona",33.3429790869565,-111.720570347826,57
"Arizona",33.3429790869565,-111.720570347826,29
"Arizona",33.3429790869565,-111.720570347826,30
"Arizona",33.3429790869565,-111.720570347826,6
"Arizona",33.3429790869565,-111.720570347826,25
"Arizona",33.3429790869565,-111.720570347826,7
"Arizona",33.3429790869565,-111.720570347826,17
"Arizona",33.3429790869565,-111.720570347826,10
"Arizona",33.3429790869565,-111.720570347826,2
"Arizona",33.3429790869565,-111.720570347826,9
"Arizona",33.3429790869565,-111.720570347826,31
"Arizona",33.3429790869565,-111.720570347826,32
"Arizona",33.3429790869565,-111.720570347826,89
"Arizona",33.3429790869565,-111.720570347826,57
"Arizona",33.3429790869565,-111.720570347826,153
"Arizona",33.3429790869565,-111.720570347826,18
"Arizona",33.3429790869565,-111.720570347826,4
"Arizona",33.3429790869565,-111.720570347826,3
"Arizona",33.3429790869565,-111.720570347826,63
"Arizona",33.3429790869565,-111.720570347826,22
"Arizona",33.3429790869565,-111.720570347826,34
"Arizona",33.3429790869565,-111.720570347826,10
"Arizona",33.3429790869565,-111.720570347826,13
"Arizona",33.3429790869565,-111.720570347826,24
"Arizona",33.3429790869565,-111.720570347826,14
"Arizona",33.3429790869565,-111.720570347826,8
"Arizona",33.3429790869565,-111.720570347826,69
"Arizona",33.3429790869565,-111.720570347826,39
"Arizona",33.3429790869565,-111.720570347826,11
"Arizona",33.3429790869565,-111.720570347826,35
"Arizona",33.3429790869565,-111.720570347826,10
"Arizona",33.3429790869565,-111.720570347826,11
"Arizona",33.3429790869565,-111.720570347826,85
"Arizona",33.3429790869565,-111.720570347826,6
"Arizona",33.3429790869565,-111.720570347826,14
"Arizona",33.3429790869565,-111.720570347826,13
"Arizona",33.3429790869565,-111.720570347826,10
"Arizona",33.3429790869565,-111.720570347826,17
"Arizona",33.3429790869565,-111.720570347826,2
"Arizona",33.3429790869565,-111.720570347826,28
"Arizona",33.3429790869565,-111.720570347826,20
"Arizona",33.3429790869565,-111.720570347826,16
"Arizona",33.3429790869565,-111.720570347826,7
"Arizona",33.3429790869565,-111.720570347826,57
"Arizona",33.3429790869565,-111.720570347826,4
"Arizona",33.3429790869565,-111.720570347826,162
"Arizona",33.3429790869565,-111.720570347826,3
"Arizona",33.3429790869565,-111.720570347826,32
"Arizona",33.3429790869565,-111.720570347826,39
"Arizona",33.3429790869565,-111.720570347826,16
"Arizona",33.3429790869565,-111.720570347826,290
"Arizona",33.3429790869565,-111.720570347826,50
"Arizona",33.3429790869565,-111.720570347826,16
"Arizona",33.3429790869565,-111.720570347826,5
"Arizona",33.3429790869565,-111.720570347826,16
"Arizona",33.3429790869565,-111.720570347826,2
"Arizona",33.3429790869565,-111.720570347826,13
"Arizona",33.3429790869565,-111.720570347826,13
"Arizona",33.3429790869565,-111.720570347826,8
"Arizona",33.3429790869565,-111.720570347826,3
"Arizona",33.3429790869565,-111.720570347826,68
"Arizona",33.3429790869565,-111.720570347826,2
"Arizona",33.3429790869565,-111.720570347826,85
"Arizona",33.3429790869565,-111.720570347826,2
"Arizona",33.3429790869565,-111.720570347826,209
"Arizona",33.3429790869565,-111.720570347826,13
"Arizona",33.3429790869565,-111.720570347826,6
"Arizona",33.3429790869565,-111.720570347826,27
"Arizona",33.3429790869565,-111.720570347826,7
"Arizona",33.3429790869565,-111.720570347826,17
"Arizona",33.3429790869565,-111.720570347826,3
"Arizona",33.3429790869565,-111.720570347826,25
"Arizona",33.3429790869565,-111.720570347826,39
"Arizona",33.3429790869565,-111.720570347826,11
"Arizona",33.3429790869565,-111.720570347826,1
"Arizona",33.3429790869565,-111.720570347826,27
"Arizona",33.3429790869565,-111.720570347826,2
"Arizona",33.3429790869565,-111.720570347826,14
"Arizona",33.3429790869565,-111.720570347826,4
"Arizona",33.3429790869565,-111.720570347826,12
"Arizona",33.3429790869565,-111.720570347826,22
"Arizona",33.3429790869565,-111.720570347826,2
"Arizona",33.3429790869565,-111.720570347826,4
"Arizona",33.3429790869565,-111.720570347826,35
"Arizona",33.3429790869565,-111.720570347826,2
"Arizona",33.3429790869565,-111.720570347826,41
"Arizona",33.3429790869565,-111.720570347826,3
"Arizona",33.3429790869565,-111.720570347826,36
"Arizona",33.3429790869565,-111.720570347826,2
"Arizona",33.3429790869565,-111.720570347826,22
"Arizona",33.3429790869565,-111.720570347826,6
"Arizona",33.3429790869565,-111.720570347826,3
"Arizona",33.3429790869565,-111.720570347826,33
"Arizona",33.3429790869565,-111.720570347826,10
"Arizona",33.3429790869565,-111.720570347826,12
"Arizona",33.3429790869565,-111.720570347826,2
"Arizona",33.3429790869565,-111.720570347826,15
"Arizona",33.3429790869565,-111.720570347826,21
"Arizona",33.3429790869565,-111.720570347826,7
"Arizona",33.3429790869565,-111.720570347826,5
"Arizona",33.3429790869565,-111.720570347826,206
"Arizona",33.3429790869565,-111.720570347826,6
"Arizona",33.3429790869565,-111.720570347826,12
"Arizona",33.3429790869565,-111.720570347826,73
"Arizona",33.3429790869565,-111.720570347826,11
"Arizona",33.3429790869565,-111.720570347826,2
"Arizona",33.3429790869565,-111.720570347826,36
"Arizona",33.3429790869565,-111.720570347826,45
"Arizona",33.3429790869565,-111.720570347826,13
"Arizona",33.3429790869565,-111.720570347826,128
"Arizona",33.3429790869565,-111.720570347826,26
"Arizona",33.3429790869565,-111.720570347826,119
"Arizona",33.3429790869565,-111.720570347826,26
"Arizona",33.3429790869565,-111.720570347826,18
"Arizona",33.3429790869565,-111.720570347826,7
"Arizona",33.3429790869565,-111.720570347826,8
"Arizona",33.3429790869565,-111.720570347826,49
"Arizona",33.3429790869565,-111.720570347826,16
"Arizona",33.3429790869565,-111.720570347826,1
"Arizona",33.3429790869565,-111.720570347826,1
"Arizona",33.3429790869565,-111.720570347826,15
