"AQI","latitude","longitude","state_name"
68,33.447867,-117.088649,"California"
90,34.404281,-118.80998,"California"
58,36.31567,-119.643447,"California"
68,37.654456,-122.031547,"California"
47,35.77417,-117.3714,"California"
10,35.03146,-120.50103,"California"
50,39.18919,-121.99887,"California"
62,39.138773,-121.618549,"California"
59,37.814781,-122.282347,"California"
15,36.634225,-120.382331,"California"
21,35.614668,-120.656912,"California"
65,34.1326,-118.1272,"California"
4,35.331612,-118.999961,"California"
20,35.345607,-118.851825,"California"
84,36.841592,-119.874739,"California"
17,40.55013,-122.38092,"California"
78,36.705474,-119.741332,"California"
35,34.725352,-120.428717,"California"
23,34.2431,-117.27235,"California"
56,33.99636,-117.4924,"California"
62,34.19925,-118.53276,"California"
51,34.14435,-117.85036,"California"
29,37.682635,-121.442495,"California"
70,36.843425,-121.3621,"California"
85,37.642165,-120.994212,"California"
23,33.0325,-115.62361,"California"
74,38.890941,-121.003373,"California"
85,37.936013,-122.026154,"California"
20,39.166017,-120.148833,"California"
82,38.403765,-122.818294,"California"
66,37.9604,-122.356811,"California"
89,35.051454,-119.40262,"California"
58,36.953256,-120.034203,"California"
10,35.36631,-120.84271,"California"
85,34.403052,-119.457914,"California"
27,39.708454,-121.617309,"California"
17,39.14566,-123.20298,"California"
14,34.890667,-120.432844,"California"
49,33.67649,-117.33098,"California"
84,34.44551,-119.8284,"California"
37,37.961578,-121.281414,"California"
61,33.92513,-117.95264,"California"
85,33.9397,-115.4108,"California"
75,38.867937,-121.338353,"California"
32,33.85275,-116.54101,"California"
54,39.233477,-121.055608,"California"
41,37.54377,-119.83957,"California"
44,37.743065,-122.169935,"California"
34,38.302591,-121.420838,"California"
48,34.510961,-117.32554,"California"
62,36.694261,-121.623271,"California"
19,40.689253,-122.402194,"California"
32,34.427775,-119.691218,"California"
14,37.226862,-121.979675,"California"
40,38.20185,-120.680277,"California"
15,38.81161,-120.033084,"California"
53,38.56844,-121.49311,"California"
25,34.10374,-117.62914,"California"
90,34.10002,-117.49201,"California"
12,33.747236,-115.820124,"California"
8,36.332179,-119.291228,"California"
53,37.482934,-122.20337,"California"
5,34.4251,-117.5898,"California"
72,39.76168,-121.84047,"California"
47,37.488317,-120.836008,"California"
51,37.079379,-121.600031,"California"
57,35.438035,-119.016787,"California"
16,32.631242,-117.059088,"California"
62,33.71969,-116.1897,"California"
54,36.566128,-118.7777,"California"
78,36.031831,-119.055018,"California"
19,38.53445,-121.7734,"California"
17,40.77678,-124.17949,"California"
80,36.985119,-119.658339,"California"
11,37.281853,-120.433671,"California"
10,35.49453,-120.66617,"California"
62,33.583018,-117.072202,"California"
12,34.210169,-118.870509,"California"
29,33.63003,-117.67593,"California"
62,36.98332,-121.98822,"California"
53,34.01029,-118.0685,"California"
4,39.01893,-122.91333,"California"
56,38.227066,-122.075624,"California"
82,37.98178,-120.378551,"California"
0,33.70853,-116.21537,"California"
70,33.362593,-117.09023,"California"
79,37.97231,-122.520004,"California"
4,38.725282,-120.821916,"California"
80,38.342606,-120.764426,"California"
67,33.92086,-116.85841,"California"
1,37.362137,-118.417478,"California"
67,35.25651,-120.6693,"California"
55,32.67618,-115.48307,"California"
42,38.35655,-121.94986,"California"
16,33.78942,-117.22764,"California"
54,36.48187,-121.73333,"California"
67,40.17093,-122.25556,"California"
43,36.999571,-121.574684,"California"
24,33.901389,-118.205,"California"
9,37.765946,-122.399044,"California"
44,33.83062,-117.93845,"California"
31,37.1984,-108.49046,"Colorado"
73,39.77949,-105.00518,"Colorado"
53,40.27813,-105.54564,"Colorado"
35,40.27813,-105.54564,"Colorado"
53,38.9564,-106.9858,"Colorado"
90,40.085,-107.312,"Colorado"
21,37.350054,-108.592334,"Colorado"
74,39.941,-105.612,"Colorado"
25,38.853097,-104.901289,"Colorado"
22,39.34,-107.71,"Colorado"
8,39.534488,-105.070358,"Colorado"
43,40.058,-106.37,"Colorado"
66,39.43806,-108.02611,"Colorado"
68,39.620408,-105.33872,"Colorado"
70,37.13678,-107.62863,"Colorado"
69,39.799,-107.617,"Colorado"
27,39.838119,-104.94984,"Colorado"
77,39.154,-106.821,"Colorado"
48,39.643,-105.592,"Colorado"
78,40.086944,-108.761389,"Colorado"
1,39.54182,-107.784125,"Colorado"
37,38.958341,-104.817215,"Colorado"
17,39.130575,-108.313835,"Colorado"
37,40.813,-104.036,"Colorado"
41,37.10258,-107.870219,"Colorado"
62,38.132,-108.285,"Colorado"
60,38.8764,-107.6023,"Colorado"
36,39.426,-107.38,"Colorado"
15,39.5464,-107.3286,"Colorado"
40,39.4125,-107.23056,"Colorado"
48,39.489,-107.168,"Colorado"
59,38.91,-106.001,"Colorado"
45,39.417,-105.755,"Colorado"
16,39.792519,-105.49127,"Colorado"
18,40.070016,-105.220238,"Colorado"
58,37.20006,-108.7331,"Colorado"
32,39.101,-105.093,"Colorado"
51,39.751184,-104.987625,"Colorado"
45,40.65,-104.33,"Colorado"
6,40.386368,-104.73744,"Colorado"
82,38.93,-108.23,"Colorado"
90,37.205862,-107.254118,"Colorado"
43,39.567887,-104.957193,"Colorado"
79,40.57747,-105.07892,"Colorado"
47,39.09,-107.234,"Colorado"
64,39.587,-105.641,"Colorado"
86,39.598,-108.805,"Colorado"
90,39.8723,-108.2183,"Colorado"
22,39.912799,-105.188587,"Colorado"
3,40.181625,-104.72613,"Colorado"
36,40.829,-105.752,"Colorado"
3,39.638522,-104.569335,"Colorado"
47,39.196,-106.836,"Colorado"
14,39.794391,-105.76398,"Colorado"
49,40.592543,-105.141122,"Colorado"
67,37.30389,-107.484167,"Colorado"
20,39.743724,-105.177989,"Colorado"
68,41.3014,-72.902871,"Connecticut"
19,41.118333,-73.336667,"Connecticut"
22,41.784722,-72.631667,"Connecticut"
22,41.976389,-72.388056,"Connecticut"
65,41.84046,-72.010368,"Connecticut"
15,41.821342,-73.297257,"Connecticut"
26,41.256788,-72.55327,"Connecticut"
76,41.1525,-73.103056,"Connecticut"
50,41.35362,-72.07882,"Connecticut"
85,41.55,-72.626,"Connecticut"
15,41.399167,-73.443056,"Connecticut"
49,41.004657,-73.585128,"Connecticut"
15,39.739444,-75.558056,"Delaware"
40,39.5513,-75.732,"Delaware"
74,38.7791,-75.16323,"Delaware"
30,39.773889,-75.496389,"Delaware"
21,38.6539,-75.6106,"Delaware"
2,39.817222,-75.563889,"Delaware"
79,38.986672,-75.5568,"Delaware"
51,26.291088,-80.096353,"Florida"
30,27.928356,-82.454539,"Florida"
51,27.389079,-80.311033,"Florida"
30,26.687606,-80.219619,"Florida"
35,28.310841,-80.61533,"Florida"
85,30.178056,-82.619167,"Florida"
72,30.525367,-87.20355,"Florida"
90,30.848611,-85.603889,"Florida"
79,28.596389,-81.3625,"Florida"
81,27.8492,-80.4554,"Florida"
7,26.053889,-80.256944,"Florida"
50,28.053611,-80.628611,"Florida"
75,26.548212,-81.981523,"Florida"
