"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"349918",2020,4,10,8,4,"10/8/2020 12:00:00 AM","UA","N37427",507,"SAN","San Diego, CA","California",91,"EWR","Newark, NJ","New Jersey",21,820,819,-1,0,0,-1,"0800-0859",12,831,1600,4,1627,1604,-23,0,0,-2,"1600-1659",0,"",307,285,269,1,2425,10,NA,NA,NA,NA,NA
"87465",2020,4,10,16,5,"10/16/2020 12:00:00 AM","AA","N805AW",699,"PHX","Phoenix, AZ","Arizona",81,"GEG","Spokane, WA","Washington",93,1845,1840,-5,0,0,-1,"1800-1859",12,1852,2120,5,2134,2125,-9,0,0,-1,"2100-2159",0,"",169,165,148,1,1020,5,NA,NA,NA,NA,NA
"271944",2020,4,10,20,2,"10/20/2020 12:00:00 AM","AA","N9023N",1707,"EYW","Key West, FL","Florida",33,"DFW","Dallas/Fort Worth, TX","Texas",74,1617,1604,-13,0,0,-1,"1600-1659",12,1616,1800,14,1815,1814,-1,0,0,-1,"1800-1859",0,"",178,190,164,1,1089,5,NA,NA,NA,NA,NA
"34585",2020,4,10,14,3,"10/14/2020 12:00:00 AM","WN","N8316H",2028,"HNL","Honolulu, HI","Hawaii",2,"KOA","Kona, HI","Hawaii",2,700,659,-1,0,0,-1,"0700-0759",13,712,741,2,755,743,-12,0,0,-1,"0700-0759",0,"",55,44,29,1,163,1,NA,NA,NA,NA,NA
"149818",2020,4,10,2,5,"10/2/2020 12:00:00 AM","OO","N443SW",4230,"INL","International Falls, MN","Minnesota",63,"MSP","Minneapolis, MN","Minnesota",63,1545,1538,-7,0,0,-1,"1500-1559",9,1547,1634,4,1650,1638,-12,0,0,-1,"1600-1659",0,"",65,60,47,1,255,2,NA,NA,NA,NA,NA
"85258",2020,4,10,12,1,"10/12/2020 12:00:00 AM","AA","N152UW",584,"BOS","Boston, MA","Massachusetts",13,"CLT","Charlotte, NC","North Carolina",36,1245,1239,-6,0,0,-1,"1200-1259",13,1252,1447,7,1509,1454,-15,0,0,-1,"1500-1559",0,"",144,135,115,1,728,3,NA,NA,NA,NA,NA
"17593",2020,4,10,25,7,"10/25/2020 12:00:00 AM","MQ","N253NN",4188,"DFW","Dallas/Fort Worth, TX","Texas",74,"XNA","Fayetteville, AR","Arkansas",71,1440,1438,-2,0,0,-1,"1400-1459",14,1452,1536,4,1550,1540,-10,0,0,-1,"1500-1559",0,"",70,62,44,1,280,2,NA,NA,NA,NA,NA
"289127",2020,4,10,21,3,"10/21/2020 12:00:00 AM","WN","N224WN",6646,"BOI","Boise, ID","Idaho",83,"LAS","Las Vegas, NV","Nevada",85,1540,1532,-8,0,0,-1,"1500-1559",10,1542,1606,2,1620,1608,-12,0,0,-1,"1600-1659",0,"",100,96,84,1,519,3,NA,NA,NA,NA,NA
"191939",2020,4,10,15,4,"10/15/2020 12:00:00 AM","AA","N410AN",1404,"DEN","Denver, CO","Colorado",82,"PHX","Phoenix, AZ","Arizona",81,650,643,-7,0,0,-1,"0600-0659",20,703,732,6,747,738,-9,0,0,-1,"0700-0759",0,"",117,115,89,1,602,3,NA,NA,NA,NA,NA
"157416",2020,4,10,9,5,"10/9/2020 12:00:00 AM","OO","N270SY",3517,"SLC","Salt Lake City, UT","Utah",87,"PSP","Palm Springs, CA","California",91,1145,1140,-5,0,0,-1,"1100-1159",18,1158,1231,6,1233,1237,4,4,0,0,"1200-1259",0,"",108,117,93,1,541,3,NA,NA,NA,NA,NA
