"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"68226",2019,2,4,21,7,"4/21/2019 12:00:00 AM","WN","N786SW",3750,"DAL","Dallas, TX","Texas",74,"DEN","Denver, CO","Colorado",82,610,606,-4,0,0,-1,"0600-0659",10,616,651,4,710,655,-15,0,0,-1,"0700-0759",0,"",120,109,95,1,651,3,NA,NA,NA,NA,NA
"302061",2019,2,4,18,4,"4/18/2019 12:00:00 AM","9E","N820AY",5182,"MSP","Minneapolis, MN","Minnesota",63,"CWA","Mosinee, WI","Wisconsin",45,1930,1926,-4,0,0,-1,"1900-1959",11,1937,2017,3,2028,2020,-8,0,0,-1,"2000-2059",0,"",58,54,40,1,175,1,NA,NA,NA,NA,NA
"471023",2019,2,4,25,4,"4/25/2019 12:00:00 AM","AA","N966TW",2444,"STL","St. Louis, MO","Missouri",64,"DFW","Dallas/Fort Worth, TX","Texas",74,1256,1251,-5,0,0,-1,"1200-1259",16,1307,1422,7,1451,1429,-22,0,0,-2,"1400-1459",0,"",115,98,75,1,550,3,NA,NA,NA,NA,NA
"79516",2019,2,4,7,7,"4/7/2019 12:00:00 AM","MQ","N804AE",4038,"DFW","Dallas/Fort Worth, TX","Texas",74,"SJT","San Angelo, TX","Texas",74,2225,2221,-4,0,0,-1,"2200-2259",11,2232,2306,3,2328,2309,-19,0,0,-2,"2300-2359",0,"",63,48,34,1,229,1,NA,NA,NA,NA,NA
"279672",2019,2,4,17,3,"4/17/2019 12:00:00 AM","AS","N297AK",782,"PDX","Portland, OR","Oregon",92,"MCO","Orlando, FL","Florida",33,630,624,-6,0,0,-1,"0600-0659",15,639,1431,13,1500,1444,-16,0,0,-2,"1500-1559",0,"",330,320,292,1,2534,11,NA,NA,NA,NA,NA
"31782",2019,2,4,23,2,"4/23/2019 12:00:00 AM","WN","N714CB",2267,"SAN","San Diego, CA","California",91,"OAK","Oakland, CA","California",91,1145,NA,NA,NA,NA,NA,"1100-1159",NA,NA,NA,NA,1315,NA,NA,NA,NA,NA,"1300-1359",1,"A",90,NA,NA,1,446,2,NA,NA,NA,NA,NA
"293785",2019,2,4,10,3,"4/10/2019 12:00:00 AM","MQ","N664MS",3460,"GSP","Greer, SC","South Carolina",37,"MIA","Miami, FL","Florida",33,1831,1822,-9,0,0,-1,"1800-1859",10,1832,2000,6,2029,2006,-23,0,0,-2,"2000-2059",0,"",118,104,88,1,637,3,NA,NA,NA,NA,NA
"199224",2019,2,4,16,2,"4/16/2019 12:00:00 AM","HA","N485HA",387,"KOA","Kona, HI","Hawaii",2,"HNL","Honolulu, HI","Hawaii",2,1815,1805,-10,0,0,-1,"1800-1859",7,1812,1840,9,1902,1849,-13,0,0,-1,"1900-1959",0,"",47,44,28,1,163,1,NA,NA,NA,NA,NA
"595492",2019,2,4,15,1,"4/15/2019 12:00:00 AM","OO","N920SW",5059,"PAH","Paducah, KY","Kentucky",52,"ORD","Chicago, IL","Illinois",41,1735,1724,-11,0,0,-1,"1700-1759",15,1739,1850,12,1922,1902,-20,0,0,-2,"1900-1959",0,"",107,98,71,1,342,2,NA,NA,NA,NA,NA
"376795",2019,2,4,13,6,"4/13/2019 12:00:00 AM","DL","N330NW",2374,"ATL","Atlanta, GA","Georgia",34,"CID","Cedar Rapids/Iowa City, IA","Iowa",61,2146,2149,3,3,0,0,"2100-2159",15,2204,2234,6,2250,2240,-10,0,0,-1,"2200-2259",0,"",124,111,90,1,694,3,NA,NA,NA,NA,NA
