"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"213006",2020,4,11,20,5,"11/20/2020 12:00:00 AM","DL","N381DZ",771,"SLC","Salt Lake City, UT","Utah",87,"TPA","Tampa, FL","Florida",33,1002,959,-3,0,0,-1,"1000-1059",22,1021,1607,3,1603,1610,7,7,0,0,"1600-1659",0,"",241,251,226,1,1888,8,NA,NA,NA,NA,NA
"210074",2020,4,11,5,4,"11/5/2020 12:00:00 AM","DL","N821DN",396,"SEA","Seattle, WA","Washington",93,"LAX","Los Angeles, CA","California",91,1913,1903,-10,0,0,-1,"1900-1959",17,1920,2141,8,2145,2149,4,4,0,0,"2100-2159",0,"",152,166,141,1,954,4,NA,NA,NA,NA,NA
"329551",2020,4,11,1,7,"11/1/2020 12:00:00 AM","B6","N2048J",466,"RSW","Fort Myers, FL","Florida",33,"BOS","Boston, MA","Massachusetts",13,1100,1153,53,53,1,3,"1100-1159",13,1206,1439,4,1405,1443,38,38,1,2,"1400-1459",0,"",185,170,153,1,1249,5,28,0,0,0,10
"154666",2020,4,11,7,6,"11/7/2020 12:00:00 AM","UA","N452UA",778,"DEN","Denver, CO","Colorado",82,"BZN","Bozeman, MT","Montana",84,1949,1938,-11,0,0,-1,"1900-1959",11,1949,2105,5,2139,2110,-29,0,0,-2,"2100-2159",0,"",110,92,76,1,524,3,NA,NA,NA,NA,NA
"46239",2020,4,11,1,7,"11/1/2020 12:00:00 AM","MQ","N263NN",3371,"DFW","Dallas/Fort Worth, TX","Texas",74,"MEM","Memphis, TN","Tennessee",54,1630,1722,52,52,1,3,"1600-1659",21,1743,1846,3,1753,1849,56,56,1,3,"1700-1759",0,"",83,87,63,1,431,2,52,0,4,0,0
"212874",2020,4,11,20,5,"11/20/2020 12:00:00 AM","DL","N872DN",574,"SMF","Sacramento, CA","California",91,"ATL","Atlanta, GA","Georgia",34,2230,2228,-2,0,0,-1,"2200-2259",13,2241,522,7,542,529,-13,0,0,-1,"0001-0559",0,"",252,241,221,1,2092,9,NA,NA,NA,NA,NA
"130157",2020,4,11,23,1,"11/23/2020 12:00:00 AM","NK","N618NK",732,"AUS","Austin, TX","Texas",74,"MCO","Orlando, FL","Florida",33,1402,1415,13,13,0,0,"1400-1459",16,1431,1729,8,1725,1737,12,12,0,0,"1700-1759",0,"",143,142,118,1,994,4,NA,NA,NA,NA,NA
"319049",2020,4,11,22,7,"11/22/2020 12:00:00 AM","MQ","N664MS",4090,"HOU","Houston, TX","Texas",74,"DFW","Dallas/Fort Worth, TX","Texas",74,1219,1216,-3,0,0,-1,"1200-1259",27,1243,1332,13,1340,1345,5,5,0,0,"1300-1359",0,"",81,89,49,1,247,1,NA,NA,NA,NA,NA
"173345",2020,4,11,25,3,"11/25/2020 12:00:00 AM","WN","N8641B",3851,"MSY","New Orleans, LA","Louisiana",72,"TPA","Tampa, FL","Florida",33,2055,2054,-1,0,0,-1,"2000-2059",9,2103,2315,4,2320,2319,-1,0,0,-1,"2300-2359",0,"",85,85,72,1,488,2,NA,NA,NA,NA,NA
"363702",2020,4,11,21,6,"11/21/2020 12:00:00 AM","WN","N902WN",1757,"STL","St. Louis, MO","Missouri",64,"MCO","Orlando, FL","Florida",33,1350,1348,-2,0,0,-1,"1300-1359",8,1356,1654,6,1710,1700,-10,0,0,-1,"1700-1759",0,"",140,132,118,1,882,4,NA,NA,NA,NA,NA
