"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"326648",2019,4,11,9,6,"11/9/2019 12:00:00 AM","OO","N839SK",3635,"ELM","Elmira/Corning, NY","New York",22,"DTW","Detroit, MI","Michigan",43,1756,1753,-3,0,0,-1,"1700-1759",20,1813,1912,9,1926,1921,-5,0,0,-1,"1900-1959",0,"",90,88,59,1,332,2,NA,NA,NA,NA,NA
"451818",2019,4,11,29,5,"11/29/2019 12:00:00 AM","NK","N531NK",866,"LAX","Los Angeles, CA","California",91,"DFW","Dallas/Fort Worth, TX","Texas",74,930,926,-4,0,0,-1,"0900-0959",12,938,1400,10,1428,1410,-18,0,0,-2,"1400-1459",0,"",178,164,142,1,1235,5,NA,NA,NA,NA,NA
"10071",2019,4,11,21,4,"11/21/2019 12:00:00 AM","DL","N993AT",2601,"MSP","Minneapolis, MN","Minnesota",63,"DTW","Detroit, MI","Michigan",43,1120,1116,-4,0,0,-1,"1100-1159",12,1128,1341,9,1402,1350,-12,0,0,-1,"1400-1459",0,"",102,94,73,1,528,3,NA,NA,NA,NA,NA
"74906",2019,4,11,8,5,"11/8/2019 12:00:00 AM","G4","325NV",45,"MEM","Memphis, TN","Tennessee",54,"LAS","Las Vegas, NV","Nevada",85,2103,2101,-2,0,0,-1,"2100-2159",10,2111,2217,6,2248,2223,-25,0,0,-2,"2200-2259",0,"",225,202,186,1,1416,6,NA,NA,NA,NA,NA
"55848",2019,4,11,12,2,"11/12/2019 12:00:00 AM","YV","N919FJ",5905,"PHX","Phoenix, AZ","Arizona",81,"DRO","Durango, CO","Colorado",82,1320,1316,-4,0,0,-1,"1300-1359",24,1340,1429,3,1433,1432,-1,0,0,-1,"1400-1459",0,"",73,76,49,1,351,2,NA,NA,NA,NA,NA
"579047",2019,4,11,16,6,"11/16/2019 12:00:00 AM","UA","N470UA",522,"SEA","Seattle, WA","Washington",93,"IAH","Houston, TX","Texas",74,900,853,-7,0,0,-1,"0900-0959",22,915,1453,4,1513,1457,-16,0,0,-2,"1500-1559",0,"",253,244,218,1,1874,8,NA,NA,NA,NA,NA
"111168",2019,4,11,30,6,"11/30/2019 12:00:00 AM","OO","N930SW",5799,"IAH","Houston, TX","Texas",74,"JAN","Jackson/Vicksburg, MS","Mississippi",53,1620,1648,28,28,1,1,"1600-1659",23,1711,1804,5,1743,1809,26,26,1,1,"1700-1759",0,"",83,81,53,1,351,2,0,0,0,0,26
"278060",2019,4,11,6,3,"11/6/2019 12:00:00 AM","AS","N524AS",507,"SNA","Santa Ana, CA","California",91,"SEA","Seattle, WA","Washington",93,1540,1529,-11,0,0,-1,"1500-1559",20,1549,1813,7,1835,1820,-15,0,0,-1,"1800-1859",0,"",175,171,144,1,978,4,NA,NA,NA,NA,NA
"48783",2019,4,11,17,7,"11/17/2019 12:00:00 AM","WN","N8567Z",1379,"FLL","Fort Lauderdale, FL","Florida",33,"DAL","Dallas, TX","Texas",74,1910,1911,1,1,0,0,"1900-1959",10,1921,2110,4,2120,2114,-6,0,0,-1,"2100-2159",0,"",190,183,169,1,1108,5,NA,NA,NA,NA,NA
"145205",2019,4,11,20,3,"11/20/2019 12:00:00 AM","YX","N436YX",4703,"LGA","New York, NY","New York",22,"RIC","Richmond, VA","Virginia",38,2110,2102,-8,0,0,-1,"2100-2159",13,2115,2205,7,2238,2212,-26,0,0,-2,"2200-2259",0,"",88,70,50,1,292,2,NA,NA,NA,NA,NA
