"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"106543",2019,2,5,15,3,"5/15/2019 12:00:00 AM","WN","N406WN",780,"LAS","Las Vegas, NV","Nevada",85,"STL","St. Louis, MO","Missouri",64,1105,1114,9,9,0,0,"1100-1159",12,1126,1612,6,1615,1618,3,3,0,0,"1600-1659",0,"",190,184,166,1,1371,6,NA,NA,NA,NA,NA
"423659",2019,2,5,31,5,"5/31/2019 12:00:00 AM","AA","N160AN",919,"FLL","Fort Lauderdale, FL","Florida",33,"DFW","Dallas/Fort Worth, TX","Texas",74,1144,1143,-1,0,0,-1,"1100-1159",15,1158,1337,5,1356,1342,-14,0,0,-1,"1300-1359",0,"",192,179,159,1,1119,5,NA,NA,NA,NA,NA
"471709",2019,2,5,25,6,"5/25/2019 12:00:00 AM","WN","N8696E",2644,"LAX","Los Angeles, CA","California",91,"BWI","Baltimore, MD","Maryland",35,700,710,10,10,0,0,"0700-0759",13,723,1441,8,1500,1449,-11,0,0,-1,"1500-1559",0,"",300,279,258,1,2329,10,NA,NA,NA,NA,NA
"550915",2019,2,5,31,5,"5/31/2019 12:00:00 AM","WN","N435WN",4167,"MCO","Orlando, FL","Florida",33,"RDU","Raleigh/Durham, NC","North Carolina",36,1650,1647,-3,0,0,-1,"1600-1659",10,1657,1824,2,1835,1826,-9,0,0,-1,"1800-1859",0,"",105,99,87,1,534,3,NA,NA,NA,NA,NA
"64954",2019,2,5,20,1,"5/20/2019 12:00:00 AM","DL","N910DN",976,"ATL","Atlanta, GA","Georgia",34,"IAH","Houston, TX","Texas",74,1359,1356,-3,0,0,-1,"1300-1359",14,1410,1453,7,1514,1500,-14,0,0,-1,"1500-1559",0,"",135,124,103,1,689,3,NA,NA,NA,NA,NA
"157535",2019,2,5,20,1,"5/20/2019 12:00:00 AM","DL","N6702",2869,"DTW","Detroit, MI","Michigan",43,"MCO","Orlando, FL","Florida",33,1740,1737,-3,0,0,-1,"1700-1759",12,1749,1952,6,2019,1958,-21,0,0,-2,"2000-2059",0,"",159,141,123,1,957,4,NA,NA,NA,NA,NA
"470887",2019,2,5,25,6,"5/25/2019 12:00:00 AM","WN","N200WN",4721,"DAL","Dallas, TX","Texas",74,"BWI","Baltimore, MD","Maryland",35,1210,1207,-3,0,0,-1,"1200-1259",11,1218,1548,5,1605,1553,-12,0,0,-1,"1600-1659",0,"",175,166,150,1,1209,5,NA,NA,NA,NA,NA
"325511",2019,2,5,29,3,"5/29/2019 12:00:00 AM","DL","N983DL",1177,"RDU","Raleigh/Durham, NC","North Carolina",36,"ATL","Atlanta, GA","Georgia",34,1225,1226,1,1,0,0,"1200-1259",12,1238,1330,8,1352,1338,-14,0,0,-1,"1300-1359",0,"",87,72,52,1,356,2,NA,NA,NA,NA,NA
"272877",2019,2,5,22,3,"5/22/2019 12:00:00 AM","WN","N8511K",2285,"PHX","Phoenix, AZ","Arizona",81,"HOU","Houston, TX","Texas",74,1915,1922,7,7,0,0,"1900-1959",8,1930,2335,5,2335,2340,5,5,0,0,"2300-2359",0,"",140,138,125,1,1020,5,NA,NA,NA,NA,NA
"97589",2019,2,5,13,1,"5/13/2019 12:00:00 AM","OH","N213PS",5122,"DCA","Washington, DC","Virginia",38,"CAE","Columbia, SC","South Carolina",37,730,726,-4,0,0,-1,"0700-0759",25,751,905,2,857,907,10,10,0,0,"0800-0859",0,"",87,101,74,1,408,2,NA,NA,NA,NA,NA
"132572",2019,2,5,14,2,"5/14/2019 12:00:00 AM","HA","N218HA",24,"OGG","Kahului, HI","Hawaii",2,"OAK","Oakland, CA","California",91,1105,1111,6,6,0,0,"1100-1159",13,1124,1902,6,1905,1908,3,3,0,0,"1900-1959",0,"",300,297,278,1,2349,10,NA,NA,NA,NA,NA
"551710",2019,2,5,31,5,"5/31/2019 12:00:00 AM","WN","N952WN",598,"PHX","Phoenix, AZ","Arizona",81,"ONT","Ontario, CA","California",91,1600,1643,43,43,1,2,"1600-1659",8,1651,1740,3,1710,1743,33,33,1,2,"1700-1759",0,"",70,60,49,1,325,2,1,0,0,0,32
"584656",2019,2,5,15,3,"5/15/2019 12:00:00 AM","DL","N920DN",2851,"IAH","Houston, TX","Texas",74,"ATL","Atlanta, GA","Georgia",34,1126,1126,0,0,0,0,"1100-1159",10,1136,1406,18,1428,1424,-4,0,0,-1,"1400-1459",0,"",122,118,90,1,689,3,NA,NA,NA,NA,NA
