"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"48625",2020,2,4,10,5,"4/10/2020 12:00:00 AM","WN","",1082,"DAL","Dallas, TX","Texas",74,"ELP","El Paso, TX","Texas",74,800,NA,NA,NA,NA,NA,"0800-0859",NA,NA,NA,NA,850,NA,NA,NA,NA,NA,"0800-0859",1,"D",110,NA,NA,1,562,3,NA,NA,NA,NA,NA
"82043",2020,2,4,27,1,"4/27/2020 12:00:00 AM","MQ","N240NN",3664,"XNA","Fayetteville, AR","Arkansas",71,"DFW","Dallas/Fort Worth, TX","Texas",74,807,800,-7,0,0,-1,"0800-0859",12,812,912,15,932,927,-5,0,0,-1,"0900-0959",0,"",85,87,60,1,280,2,NA,NA,NA,NA,NA
"299370",2020,2,4,12,7,"4/12/2020 12:00:00 AM","WN","",4508,"LAX","Los Angeles, CA","California",91,"RNO","Reno, NV","Nevada",85,2220,NA,NA,NA,NA,NA,"2200-2259",NA,NA,NA,NA,2350,NA,NA,NA,NA,NA,"2300-2359",1,"D",90,NA,NA,1,391,2,NA,NA,NA,NA,NA
"68979",2020,2,4,29,3,"4/29/2020 12:00:00 AM","YV","N89308",6040,"CHS","Charleston, SC","South Carolina",37,"IAD","Washington, DC","Virginia",38,600,551,-9,0,0,-1,"0600-0659",7,558,705,5,729,710,-19,0,0,-2,"0700-0759",0,"",89,79,67,1,441,2,NA,NA,NA,NA,NA
"208009",2020,2,4,3,5,"4/3/2020 12:00:00 AM","DL","N347NW",1888,"ATL","Atlanta, GA","Georgia",34,"JFK","New York, NY","New York",22,2133,2130,-3,0,0,-1,"2100-2159",10,2140,2320,8,2344,2328,-16,0,0,-2,"2300-2359",0,"",131,118,100,1,760,4,NA,NA,NA,NA,NA
"40532",2020,2,4,22,3,"4/22/2020 12:00:00 AM","DL","N902DE",393,"ATL","Atlanta, GA","Georgia",34,"BNA","Nashville, TN","Tennessee",54,940,937,-3,0,0,-1,"0900-0959",11,948,929,6,939,935,-4,0,0,-1,"0900-0959",0,"",59,58,41,1,214,1,NA,NA,NA,NA,NA
"79401",2020,2,4,23,4,"4/23/2020 12:00:00 AM","MQ","N813AE",3496,"DFW","Dallas/Fort Worth, TX","Texas",74,"BPT","Beaumont/Port Arthur, TX","Texas",74,1035,1026,-9,0,0,-1,"1000-1059",22,1048,1130,4,1200,1134,-26,0,0,-2,"1200-1259",0,"",85,68,42,1,270,2,NA,NA,NA,NA,NA
"230214",2020,2,4,7,2,"4/7/2020 12:00:00 AM","WN","",6516,"LAX","Los Angeles, CA","California",91,"PHX","Phoenix, AZ","Arizona",81,2010,NA,NA,NA,NA,NA,"2000-2059",NA,NA,NA,NA,2135,NA,NA,NA,NA,NA,"2100-2159",1,"D",85,NA,NA,1,370,2,NA,NA,NA,NA,NA
"119511",2020,2,4,7,2,"4/7/2020 12:00:00 AM","EV","N14993",4086,"IAH","Houston, TX","Texas",74,"LCH","Lake Charles, LA","Louisiana",72,1020,NA,NA,NA,NA,NA,"1000-1059",NA,NA,NA,NA,1120,NA,NA,NA,NA,NA,"1100-1159",1,"D",60,NA,NA,1,127,1,NA,NA,NA,NA,NA
"77926",2020,2,4,17,5,"4/17/2020 12:00:00 AM","MQ","N939AE",3401,"MLI","Moline, IL","Illinois",41,"ORD","Chicago, IL","Illinois",41,600,549,-11,0,0,-1,"0600-0659",50,639,709,9,710,718,8,8,0,0,"0700-0759",0,"",70,89,30,1,139,1,NA,NA,NA,NA,NA
