"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"158254",2020,2,6,18,4,"6/18/2020 12:00:00 AM","WN","N7867A",1313,"LAS","Las Vegas, NV","Nevada",85,"ONT","Ontario, CA","California",91,1850,1847,-3,0,0,-1,"1800-1859",9,1856,1931,4,1950,1935,-15,0,0,-1,"1900-1959",0,"",60,48,35,1,197,1,NA,NA,NA,NA,NA
"67069",2020,2,6,21,7,"6/21/2020 12:00:00 AM","OO","N131SY",5679,"SNA","Santa Ana, CA","California",91,"SFO","San Francisco, CA","California",91,1520,1518,-2,0,0,-1,"1500-1559",12,1530,1629,3,1635,1632,-3,0,0,-1,"1600-1659",0,"",75,74,59,1,372,2,NA,NA,NA,NA,NA
"202466",2020,2,6,16,2,"6/16/2020 12:00:00 AM","WN","N497WN",1049,"BUR","Burbank, CA","California",91,"OAK","Oakland, CA","California",91,1340,1338,-2,0,0,-1,"1300-1359",13,1351,1445,4,1455,1449,-6,0,0,-1,"1400-1459",0,"",75,71,54,1,325,2,NA,NA,NA,NA,NA
"70021",2020,2,6,27,6,"6/27/2020 12:00:00 AM","UA","N894UA",1693,"LAX","Los Angeles, CA","California",91,"IAH","Houston, TX","Texas",74,1250,1252,2,2,0,0,"1200-1259",11,1303,1756,7,1812,1803,-9,0,0,-1,"1800-1859",0,"",202,191,173,1,1379,6,NA,NA,NA,NA,NA
"63172",2020,2,6,30,2,"6/30/2020 12:00:00 AM","OO","N983SW",5055,"EAU","Eau Claire, WI","Wisconsin",45,"ORD","Chicago, IL","Illinois",41,705,705,0,0,0,0,"0700-0759",10,715,802,6,820,808,-12,0,0,-1,"0800-0859",0,"",75,63,47,1,269,2,NA,NA,NA,NA,NA
"111284",2020,2,6,16,2,"6/16/2020 12:00:00 AM","YV","N956LR",5794,"PHX","Phoenix, AZ","Arizona",81,"SBA","Santa Barbara, CA","California",91,1000,952,-8,0,0,-1,"1000-1059",18,1010,1120,4,1132,1124,-8,0,0,-1,"1100-1159",0,"",92,92,70,1,455,2,NA,NA,NA,NA,NA
"34343",2020,2,6,13,6,"6/13/2020 12:00:00 AM","WN","N418WN",484,"LAS","Las Vegas, NV","Nevada",85,"SAT","San Antonio, TX","Texas",74,1125,1131,6,6,0,0,"1100-1159",10,1141,1557,4,1555,1601,6,6,0,0,"1500-1559",0,"",150,150,136,1,1069,5,NA,NA,NA,NA,NA
"194200",2020,2,6,24,3,"6/24/2020 12:00:00 AM","DL","N978AT",2357,"ATL","Atlanta, GA","Georgia",34,"PIT","Pittsburgh, PA","Pennsylvania",23,1000,1004,4,4,0,0,"1000-1059",13,1017,1128,5,1135,1133,-2,0,0,-1,"1100-1159",0,"",95,89,71,1,526,3,NA,NA,NA,NA,NA
"56547",2020,2,6,16,2,"6/16/2020 12:00:00 AM","AA","N762US",1097,"DFW","Dallas/Fort Worth, TX","Texas",74,"TUS","Tucson, AZ","Arizona",81,1438,1431,-7,0,0,-1,"1400-1459",12,1443,1438,4,1450,1442,-8,0,0,-1,"1400-1459",0,"",132,131,115,1,813,4,NA,NA,NA,NA,NA
"182746",2020,2,6,11,4,"6/11/2020 12:00:00 AM","OO","N730SK",3042,"CID","Cedar Rapids/Iowa City, IA","Iowa",61,"ORD","Chicago, IL","Illinois",41,1119,1109,-10,0,0,-1,"1100-1159",8,1117,1155,6,1235,1201,-34,0,0,-2,"1200-1259",0,"",76,52,38,1,196,1,NA,NA,NA,NA,NA
"210443",2020,2,6,29,1,"6/29/2020 12:00:00 AM","WN","N7721E",580,"ABQ","Albuquerque, NM","New Mexico",86,"PHX","Phoenix, AZ","Arizona",81,1400,1354,-6,0,0,-1,"1400-1459",9,1403,1355,5,1415,1400,-15,0,0,-1,"1400-1459",0,"",75,66,52,1,328,2,NA,NA,NA,NA,NA
"54292",2020,2,6,11,4,"6/11/2020 12:00:00 AM","AA","N561UW",2700,"MIA","Miami, FL","Florida",33,"CLT","Charlotte, NC","North Carolina",36,1555,1549,-6,0,0,-1,"1500-1559",11,1600,1736,7,1811,1743,-28,0,0,-2,"1800-1859",0,"",136,114,96,1,650,3,NA,NA,NA,NA,NA
"135421",2020,2,6,22,1,"6/22/2020 12:00:00 AM","HA","N480HA",132,"HNL","Honolulu, HI","Hawaii",2,"ITO","Hilo, HI","Hawaii",2,605,559,-6,0,0,-1,"0600-0659",13,612,647,5,658,652,-6,0,0,-1,"0600-0659",0,"",53,53,35,1,216,1,NA,NA,NA,NA,NA
"47181",2020,2,6,10,3,"6/10/2020 12:00:00 AM","AS","N614AS",533,"ANC","Anchorage, AK","Alaska",1,"SCC","Deadhorse, AK","Alaska",1,1405,1343,-22,0,0,-2,"1400-1459",22,1405,1527,4,1545,1531,-14,0,0,-1,"1500-1559",0,"",100,108,82,1,626,3,NA,NA,NA,NA,NA
"22989",2020,2,6,28,7,"6/28/2020 12:00:00 AM","9E","N8894A",4970,"DTW","Detroit, MI","Michigan",43,"SCE","State College, PA","Pennsylvania",23,1605,1602,-3,0,0,-1,"1600-1659",10,1612,1702,4,1717,1706,-11,0,0,-1,"1700-1759",0,"",72,64,50,1,301,2,NA,NA,NA,NA,NA
"222106",2020,2,6,21,7,"6/21/2020 12:00:00 AM","YX","N722YX",3485,"EWR","Newark, NJ","New Jersey",21,"RDU","Raleigh/Durham, NC","North Carolina",36,900,854,-6,0,0,-1,"0900-0959",11,905,1006,4,1039,1010,-29,0,0,-2,"1000-1059",0,"",99,76,61,1,416,2,NA,NA,NA,NA,NA
"198230",2020,2,6,14,7,"6/14/2020 12:00:00 AM","WN","N274WN",1420,"DAL","Dallas, TX","Texas",74,"SAT","San Antonio, TX","Texas",74,1600,1634,34,34,1,2,"1600-1659",8,1642,1725,3,1705,1728,23,23,1,1,"1700-1759",0,"",65,54,43,1,247,1,23,0,0,0,0
"137181",2020,2,6,6,6,"6/6/2020 12:00:00 AM","G4","280NV",924,"USA","Concord, NC","North Carolina",36,"PIE","St. Petersburg, FL","Florida",33,912,858,-14,0,0,-1,"0900-0959",9,907,1029,4,1049,1033,-16,0,0,-2,"1000-1059",0,"",97,95,82,1,528,3,NA,NA,NA,NA,NA
"139654",2020,2,6,22,1,"6/22/2020 12:00:00 AM","G4","255NV",1149,"MYR","Myrtle Beach, SC","South Carolina",37,"LCK","Columbus, OH","Ohio",44,1912,1909,-3,0,0,-1,"1900-1959",7,1916,2028,7,2038,2035,-3,0,0,-1,"2000-2059",0,"",86,86,72,1,478,2,NA,NA,NA,NA,NA
"62584",2020,2,6,1,1,"6/1/2020 12:00:00 AM","OO","N607UX",5409,"RNO","Reno, NV","Nevada",85,"DEN","Denver, CO","Colorado",82,1410,1401,-9,0,0,-1,"1400-1459",11,1412,1701,10,1727,1711,-16,0,0,-2,"1700-1759",0,"",137,130,109,1,804,4,NA,NA,NA,NA,NA
"75140",2020,2,6,11,4,"6/11/2020 12:00:00 AM","NK","N676NK",892,"FLL","Fort Lauderdale, FL","Florida",33,"BDL","Hartford, CT","Connecticut",11,1130,1130,0,0,0,0,"1100-1159",18,1148,1414,5,1428,1419,-9,0,0,-1,"1400-1459",0,"",178,169,146,1,1173,5,NA,NA,NA,NA,NA
"86401",2020,2,6,30,2,"6/30/2020 12:00:00 AM","9E","N8836A",4800,"ATL","Atlanta, GA","Georgia",34,"FSM","Fort Smith, AR","Arkansas",71,1230,1221,-9,0,0,-1,"1200-1259",14,1235,1301,2,1315,1303,-12,0,0,-1,"1300-1359",0,"",105,102,86,1,579,3,NA,NA,NA,NA,NA
"57335",2020,2,6,28,7,"6/28/2020 12:00:00 AM","AA","N961NN",1175,"DFW","Dallas/Fort Worth, TX","Texas",74,"SFO","San Francisco, CA","California",91,1650,1657,7,7,0,0,"1600-1659",28,1725,1843,6,1835,1849,14,14,0,0,"1800-1859",0,"",225,232,198,1,1464,6,NA,NA,NA,NA,NA
"169274",2020,2,6,12,5,"6/12/2020 12:00:00 AM","MQ","N837AE",4162,"DFW","Dallas/Fort Worth, TX","Texas",74,"LRD","Laredo, TX","Texas",74,1224,1221,-3,0,0,-1,"1200-1259",13,1234,1331,3,1347,1334,-13,0,0,-1,"1300-1359",0,"",83,73,57,1,396,2,NA,NA,NA,NA,NA
"158814",2020,2,6,18,4,"6/18/2020 12:00:00 AM","WN","N555LV",1531,"OKC","Oklahoma City, OK","Oklahoma",73,"HOU","Houston, TX","Texas",74,1345,1345,0,0,0,0,"1300-1359",8,1353,1459,7,1515,1506,-9,0,0,-1,"1500-1559",0,"",90,81,66,1,419,2,NA,NA,NA,NA,NA
