"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"514949",2019,4,12,21,6,"12/21/2019 12:00:00 AM","WN","N8314L",269,"HNL","Honolulu, HI","Hawaii",2,"LIH","Lihue, HI","Hawaii",2,1025,1120,55,55,1,3,"1000-1059",22,1142,1205,5,1115,1210,55,55,1,3,"1100-1159",0,"",50,50,23,1,102,1,0,0,0,0,55
"397234",2019,4,12,20,5,"12/20/2019 12:00:00 AM","AA","N824AW",1386,"SLC","Salt Lake City, UT","Utah",87,"PHX","Phoenix, AZ","Arizona",81,2028,2039,11,11,0,0,"2000-2059",14,2053,2206,9,2215,2215,0,0,0,0,"2200-2259",0,"",107,96,73,1,507,3,NA,NA,NA,NA,NA
"440347",2019,4,12,11,3,"12/11/2019 12:00:00 AM","YV","N87345",6123,"IAH","Houston, TX","Texas",74,"DTW","Detroit, MI","Michigan",43,1625,1625,0,0,0,0,"1600-1659",12,1637,1953,13,2018,2006,-12,0,0,-1,"2000-2059",0,"",173,161,136,1,1075,5,NA,NA,NA,NA,NA
"424909",2019,4,12,14,6,"12/14/2019 12:00:00 AM","F9","N705FR",2424,"RSW","Fort Myers, FL","Florida",33,"CLE","Cleveland, OH","Ohio",44,1204,1204,0,0,0,0,"1200-1259",16,1220,1435,8,1456,1443,-13,0,0,-1,"1400-1459",0,"",172,159,135,1,1025,5,NA,NA,NA,NA,NA
"434950",2019,4,12,31,2,"12/31/2019 12:00:00 AM","G4","261NV",677,"AZA","Phoenix, AZ","Arizona",81,"SGF","Springfield, MO","Missouri",64,1710,1710,0,0,0,0,"1700-1759",13,1723,2023,26,2032,2049,17,17,1,1,"2000-2059",0,"",142,159,120,1,1066,5,0,0,17,0,0
"310035",2019,4,12,15,7,"12/15/2019 12:00:00 AM","AA","N947NN",1045,"SEA","Seattle, WA","Washington",93,"ORD","Chicago, IL","Illinois",41,1335,1335,0,0,0,0,"1300-1359",17,1352,1916,16,1939,1932,-7,0,0,-1,"1900-1959",0,"",244,237,204,1,1721,7,NA,NA,NA,NA,NA
"388962",2019,4,12,19,4,"12/19/2019 12:00:00 AM","OH","N527EA",5411,"DCA","Washington, DC","Virginia",38,"DTW","Detroit, MI","Michigan",43,1515,1512,-3,0,0,-1,"1500-1559",20,1532,1644,10,1659,1654,-5,0,0,-1,"1600-1659",0,"",104,102,72,1,405,2,NA,NA,NA,NA,NA
"376374",2019,4,12,2,1,"12/2/2019 12:00:00 AM","MQ","N837AE",4240,"DFW","Dallas/Fort Worth, TX","Texas",74,"TXK","Texarkana, AR","Arkansas",71,37,30,-7,0,0,-1,"0001-0559",20,50,124,5,132,129,-3,0,0,-1,"0001-0559",0,"",55,59,34,1,181,1,NA,NA,NA,NA,NA
"242657",2019,4,12,29,7,"12/29/2019 12:00:00 AM","AA","N807AW",513,"DFW","Dallas/Fort Worth, TX","Texas",74,"TUS","Tucson, AZ","Arizona",81,1426,1421,-5,0,0,-1,"1400-1459",14,1435,1536,5,1553,1541,-12,0,0,-1,"1500-1559",0,"",147,140,121,1,813,4,NA,NA,NA,NA,NA
"321272",2019,4,12,9,1,"12/9/2019 12:00:00 AM","WN","N747SA",222,"MCO","Orlando, FL","Florida",33,"BWI","Baltimore, MD","Maryland",35,630,628,-2,0,0,-1,"0600-0659",6,634,827,5,835,832,-3,0,0,-1,"0800-0859",0,"",125,124,113,1,787,4,NA,NA,NA,NA,NA
"612144",2019,4,12,5,4,"12/5/2019 12:00:00 AM","DL","N313DN",2454,"MSP","Minneapolis, MN","Minnesota",63,"SAN","San Diego, CA","California",91,1120,1117,-3,0,0,-1,"1100-1159",14,1131,1255,4,1323,1259,-24,0,0,-2,"1300-1359",0,"",243,222,204,1,1532,7,NA,NA,NA,NA,NA
"265373",2019,4,12,31,2,"12/31/2019 12:00:00 AM","HA","N228HA",61,"LAX","Los Angeles, CA","California",91,"KOA","Kona, HI","Hawaii",2,1100,1120,20,20,1,1,"1100-1159",16,1136,1422,9,1455,1431,-24,0,0,-2,"1400-1459",0,"",355,311,286,1,2504,11,NA,NA,NA,NA,NA
"385187",2019,4,12,27,5,"12/27/2019 12:00:00 AM","OH","N515AE",5152,"CLT","Charlotte, NC","North Carolina",36,"HPN","White Plains, NY","New York",22,2038,2030,-8,0,0,-1,"2000-2059",19,2049,2214,5,2239,2219,-20,0,0,-2,"2200-2259",0,"",121,109,85,1,564,3,NA,NA,NA,NA,NA
"4652",2019,4,12,8,7,"12/8/2019 12:00:00 AM","DL","N921DN",2495,"SAT","San Antonio, TX","Texas",74,"ATL","Atlanta, GA","Georgia",34,1830,1844,14,14,0,0,"1800-1859",8,1852,2135,10,2144,2145,1,1,0,0,"2100-2159",0,"",134,121,103,1,874,4,NA,NA,NA,NA,NA
"418656",2019,4,12,2,1,"12/2/2019 12:00:00 AM","EV","N11539",4318,"IAH","Houston, TX","Texas",74,"HRL","Harlingen/San Benito, TX","Texas",74,1010,1029,19,19,1,1,"1000-1059",28,1057,1150,4,1136,1154,18,18,1,1,"1100-1159",0,"",86,85,53,1,295,2,18,0,0,0,0
"56469",2019,4,12,8,7,"12/8/2019 12:00:00 AM","OO","N418SW",4013,"ATL","Atlanta, GA","Georgia",34,"CRW","Charleston/Dunbar, WV","West Virginia",39,1210,1213,3,3,0,0,"1200-1259",12,1225,1323,1,1332,1324,-8,0,0,-1,"1300-1359",0,"",82,71,58,1,363,2,NA,NA,NA,NA,NA
"582019",2019,4,12,5,4,"12/5/2019 12:00:00 AM","AS","N533AS",547,"SNA","Santa Ana, CA","California",91,"PDX","Portland, OR","Oregon",92,1915,1912,-3,0,0,-1,"1900-1959",15,1927,2124,4,2148,2128,-20,0,0,-2,"2100-2159",0,"",153,136,117,1,859,4,NA,NA,NA,NA,NA
"168308",2019,4,12,29,7,"12/29/2019 12:00:00 AM","WN","N8535S",5801,"DAL","Dallas, TX","Texas",74,"RSW","Fort Myers, FL","Florida",33,1700,1731,31,31,1,2,"1700-1759",7,1738,2041,4,2025,2045,20,20,1,1,"2000-2059",0,"",145,134,123,1,1005,5,13,0,0,0,7
"176561",2019,4,12,6,5,"12/6/2019 12:00:00 AM","WN","N262WN",1321,"SFO","San Francisco, CA","California",91,"SAN","San Diego, CA","California",91,1100,1326,146,146,1,9,"1100-1159",38,1404,1510,5,1235,1515,160,160,1,10,"1200-1259",0,"",95,109,66,1,447,2,0,146,14,0,0
"313881",2019,4,12,9,1,"12/9/2019 12:00:00 AM","UA","N855UA",632,"ORD","Chicago, IL","Illinois",41,"IAD","Washington, DC","Virginia",38,855,857,2,2,0,0,"0800-0859",22,919,1141,5,1146,1146,0,0,0,0,"1100-1159",0,"",111,109,82,1,588,3,NA,NA,NA,NA,NA
"496628",2019,4,12,15,7,"12/15/2019 12:00:00 AM","WN","N8512U",3926,"DAL","Dallas, TX","Texas",74,"AUS","Austin, TX","Texas",74,800,755,-5,0,0,-1,"0800-0859",10,805,844,5,900,849,-11,0,0,-1,"0900-0959",0,"",60,54,39,1,189,1,NA,NA,NA,NA,NA
"518381",2019,4,12,4,3,"12/4/2019 12:00:00 AM","9E","N349PQ",5441,"GRR","Grand Rapids, MI","Michigan",43,"LGA","New York, NY","New York",22,1235,1230,-5,0,0,-1,"1200-1259",10,1240,1403,8,1437,1411,-26,0,0,-2,"1400-1459",0,"",122,101,83,1,618,3,NA,NA,NA,NA,NA
"579397",2019,4,12,1,7,"12/1/2019 12:00:00 AM","AS","N506AS",959,"PHX","Phoenix, AZ","Arizona",81,"PDX","Portland, OR","Oregon",92,725,715,-10,0,0,-1,"0700-0759",8,723,849,4,914,853,-21,0,0,-2,"0900-0959",0,"",169,158,146,1,1009,5,NA,NA,NA,NA,NA
"285072",2019,4,12,17,2,"12/17/2019 12:00:00 AM","DL","N345NW",2879,"DTW","Detroit, MI","Michigan",43,"JAX","Jacksonville, FL","Florida",33,2039,2038,-1,0,0,-1,"2000-2059",16,2054,2259,3,2308,2302,-6,0,0,-1,"2300-2359",0,"",149,144,125,1,813,4,NA,NA,NA,NA,NA
"282061",2019,4,12,4,3,"12/4/2019 12:00:00 AM","DL","N960AT",387,"ORD","Chicago, IL","Illinois",41,"DTW","Detroit, MI","Michigan",43,915,908,-7,0,0,-1,"0900-0959",20,928,1117,5,1140,1122,-18,0,0,-2,"1100-1159",0,"",85,74,49,1,235,1,NA,NA,NA,NA,NA
"226378",2019,4,12,3,2,"12/3/2019 12:00:00 AM","OH","N589NN",5253,"CLT","Charlotte, NC","North Carolina",36,"BHM","Birmingham, AL","Alabama",51,945,945,0,0,0,0,"0900-0959",29,1014,1019,3,1028,1022,-6,0,0,-1,"1000-1059",0,"",103,97,65,1,350,2,NA,NA,NA,NA,NA
"142323",2019,4,12,28,6,"12/28/2019 12:00:00 AM","UA","N35236",683,"RSW","Fort Myers, FL","Florida",33,"ORD","Chicago, IL","Illinois",41,600,553,-7,0,0,-1,"0600-0659",18,611,751,14,808,805,-3,0,0,-1,"0800-0859",0,"",188,192,160,1,1120,5,NA,NA,NA,NA,NA
"138086",2019,4,12,22,7,"12/22/2019 12:00:00 AM","AA","N767UW",1162,"TUS","Tucson, AZ","Arizona",81,"ORD","Chicago, IL","Illinois",41,1325,1326,1,1,0,0,"1300-1359",12,1338,1736,9,1750,1745,-5,0,0,-1,"1700-1759",0,"",205,199,178,1,1437,6,NA,NA,NA,NA,NA
"101142",2019,4,12,24,2,"12/24/2019 12:00:00 AM","F9","N342FR",1079,"GSP","Greer, SC","South Carolina",37,"MCO","Orlando, FL","Florida",33,1959,1948,-11,0,0,-1,"1900-1959",11,1959,2101,10,2134,2111,-23,0,0,-2,"2100-2159",0,"",95,83,62,1,449,2,NA,NA,NA,NA,NA
"566381",2019,4,12,9,1,"12/9/2019 12:00:00 AM","AA","N990AN",1532,"LGA","New York, NY","New York",22,"MIA","Miami, FL","Florida",33,729,735,6,6,0,0,"0700-0759",23,758,1039,12,1048,1051,3,3,0,0,"1000-1059",0,"",199,196,161,1,1096,5,NA,NA,NA,NA,NA
"412041",2019,4,12,7,6,"12/7/2019 12:00:00 AM","YX","N751YX",3562,"IAH","Houston, TX","Texas",74,"IND","Indianapolis, IN","Indiana",42,1940,1940,0,0,0,0,"1900-1959",16,1956,2251,11,2258,2302,4,4,0,0,"2200-2259",0,"",138,142,115,1,844,4,NA,NA,NA,NA,NA
"8513",2019,4,12,5,4,"12/5/2019 12:00:00 AM","UA","N16703",2219,"EWR","Newark, NJ","New Jersey",21,"PDX","Portland, OR","Oregon",92,1850,1845,-5,0,0,-1,"1800-1859",28,1913,2153,4,2208,2157,-11,0,0,-1,"2200-2259",0,"",378,372,340,1,2434,10,NA,NA,NA,NA,NA
"30879",2019,4,12,1,7,"12/1/2019 12:00:00 AM","WN","N473WN",1555,"DEN","Denver, CO","Colorado",82,"LAX","Los Angeles, CA","California",91,535,533,-2,0,0,-1,"0001-0559",21,554,702,4,715,706,-9,0,0,-1,"0700-0759",0,"",160,153,128,1,862,4,NA,NA,NA,NA,NA
"375255",2019,4,12,2,1,"12/2/2019 12:00:00 AM","MQ","N239NN",4201,"ORD","Chicago, IL","Illinois",41,"MDT","Harrisburg, PA","Pennsylvania",23,1500,1539,39,39,1,2,"1500-1559",42,1621,1852,5,1748,1857,69,69,1,4,"1700-1759",0,"",108,138,91,1,594,3,0,6,30,0,33
"388495",2019,4,12,24,2,"12/24/2019 12:00:00 AM","OH","N524AE",5397,"PHL","Philadelphia, PA","Pennsylvania",23,"CVG","Cincinnati, OH","Kentucky",52,1520,1527,7,7,0,0,"1500-1559",13,1540,1701,3,1714,1704,-10,0,0,-1,"1700-1759",0,"",114,97,81,1,507,3,NA,NA,NA,NA,NA
"81412",2019,4,12,3,2,"12/3/2019 12:00:00 AM","AA","N145AN",2007,"PHL","Philadelphia, PA","Pennsylvania",23,"LAX","Los Angeles, CA","California",91,1112,1111,-1,0,0,-1,"1100-1159",37,1148,1430,5,1422,1435,13,13,0,0,"1400-1459",0,"",370,384,342,1,2402,10,NA,NA,NA,NA,NA
"111036",2019,4,12,19,4,"12/19/2019 12:00:00 AM","YV","N915FJ",5933,"DFW","Dallas/Fort Worth, TX","Texas",74,"LBB","Lubbock, TX","Texas",74,1032,1029,-3,0,0,-1,"1000-1059",16,1045,1134,3,1149,1137,-12,0,0,-1,"1100-1159",0,"",77,68,49,1,282,2,NA,NA,NA,NA,NA
"317127",2019,4,12,7,6,"12/7/2019 12:00:00 AM","UA","N69847",385,"LAS","Las Vegas, NV","Nevada",85,"SFO","San Francisco, CA","California",91,1842,2154,192,192,1,12,"1800-1859",30,2224,2339,6,2020,2345,205,205,1,12,"2000-2059",0,"",98,111,75,1,414,2,0,0,13,0,192
"212713",2019,4,12,14,6,"12/14/2019 12:00:00 AM","MQ","N693AE",4091,"ORD","Chicago, IL","Illinois",41,"PIA","Peoria, IL","Illinois",41,2045,2056,11,11,0,0,"2000-2059",18,2114,2145,2,2143,2147,4,4,0,0,"2100-2159",0,"",58,51,31,1,130,1,NA,NA,NA,NA,NA
"200304",2019,4,12,30,1,"12/30/2019 12:00:00 AM","OO","N908SW",5417,"PSP","Palm Springs, CA","California",91,"DEN","Denver, CO","Colorado",82,645,644,-1,0,0,-1,"0600-0659",7,651,943,12,1007,955,-12,0,0,-1,"1000-1059",0,"",142,131,112,1,776,4,NA,NA,NA,NA,NA
"549298",2019,4,12,31,2,"12/31/2019 12:00:00 AM","NK","N645NK",406,"TPA","Tampa, FL","Florida",33,"BDL","Hartford, CT","Connecticut",11,1230,1220,-10,0,0,-1,"1200-1259",10,1230,1436,6,1511,1442,-29,0,0,-2,"1500-1559",0,"",161,142,126,1,1111,5,NA,NA,NA,NA,NA
"405931",2019,4,12,1,7,"12/1/2019 12:00:00 AM","AA","N936NN",2438,"DFW","Dallas/Fort Worth, TX","Texas",74,"DEN","Denver, CO","Colorado",82,650,756,66,66,1,4,"0600-0659",15,811,851,8,755,859,64,64,1,4,"0700-0759",0,"",125,123,100,1,641,3,64,0,0,0,0
"458313",2019,4,12,20,5,"12/20/2019 12:00:00 AM","DL","N368NW",2119,"LGA","New York, NY","New York",22,"MSP","Minneapolis, MN","Minnesota",63,745,750,5,5,0,0,"0700-0759",14,804,934,5,958,939,-19,0,0,-2,"0900-0959",0,"",193,169,150,1,1020,5,NA,NA,NA,NA,NA
"295092",2019,4,12,11,3,"12/11/2019 12:00:00 AM","DL","N382DN",1206,"LAX","Los Angeles, CA","California",91,"ATL","Atlanta, GA","Georgia",34,1410,1409,-1,0,0,-1,"1400-1459",8,1417,2102,7,2123,2109,-14,0,0,-1,"2100-2159",0,"",253,240,225,1,1947,8,NA,NA,NA,NA,NA
"326135",2019,4,12,17,2,"12/17/2019 12:00:00 AM","WN","N717SA",211,"DAL","Dallas, TX","Texas",74,"AUS","Austin, TX","Texas",74,1350,1408,18,18,1,1,"1300-1359",12,1420,1457,3,1455,1500,5,5,0,0,"1400-1459",0,"",65,52,37,1,189,1,NA,NA,NA,NA,NA
"377898",2019,4,12,23,1,"12/23/2019 12:00:00 AM","OH","N259PS",5614,"CLE","Cleveland, OH","Ohio",44,"DCA","Washington, DC","Virginia",38,511,505,-6,0,0,-1,"0001-0559",9,514,604,7,642,611,-31,0,0,-2,"0600-0659",0,"",91,66,50,1,310,2,NA,NA,NA,NA,NA
"178325",2019,4,12,7,6,"12/7/2019 12:00:00 AM","WN","N8632A",6325,"LAS","Las Vegas, NV","Nevada",85,"PHX","Phoenix, AZ","Arizona",81,1850,1859,9,9,0,0,"1800-1859",9,1908,2050,6,2100,2056,-4,0,0,-1,"2100-2159",0,"",70,57,42,1,255,2,NA,NA,NA,NA,NA
"399904",2019,4,12,25,3,"12/25/2019 12:00:00 AM","AA","N185UW",2306,"DFW","Dallas/Fort Worth, TX","Texas",74,"BOS","Boston, MA","Massachusetts",13,1550,1613,23,23,1,1,"1500-1559",14,1627,2027,9,2021,2036,15,15,1,1,"2000-2059",0,"",211,203,180,1,1562,7,15,0,0,0,0
