"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"90795",2018,1,2,22,4,"2/22/2018 12:00:00 AM","WN","N8643A",1511,"MDW","Chicago, IL","Illinois",41,"STL","St. Louis, MO","Missouri",64,820,821,1,1,0,0,"0800-0859",10,831,923,4,930,927,-3,0,0,-1,"0900-0959",0,"",70,66,52,1,251,2,NA,NA,NA,NA,NA
"177017",2018,1,2,21,3,"2/21/2018 12:00:00 AM","WN","N8635F",2113,"IND","Indianapolis, IN","Indiana",42,"BWI","Baltimore, MD","Maryland",35,1640,1641,1,1,0,0,"1600-1659",13,1654,1805,3,1815,1808,-7,0,0,-1,"1800-1859",0,"",95,87,71,1,516,3,NA,NA,NA,NA,NA
"361304",2018,1,2,18,7,"2/18/2018 12:00:00 AM","DL","N681DA",1860,"MSP","Minneapolis, MN","Minnesota",63,"TPA","Tampa, FL","Florida",33,1525,1523,-2,0,0,-1,"1500-1559",15,1538,1921,7,1931,1928,-3,0,0,-1,"1900-1959",0,"",186,185,163,1,1306,6,NA,NA,NA,NA,NA
"163688",2018,1,2,15,4,"2/15/2018 12:00:00 AM","WN","N8645A",1513,"MDW","Chicago, IL","Illinois",41,"FLL","Fort Lauderdale, FL","Florida",33,1335,NA,NA,NA,NA,NA,"1300-1359",NA,NA,NA,NA,1735,NA,NA,NA,NA,NA,"1700-1759",1,"B",180,NA,NA,1,1167,5,NA,NA,NA,NA,NA
"303886",2018,1,2,26,1,"2/26/2018 12:00:00 AM","UA","N37420",403,"IAD","Washington, DC","Virginia",38,"DEN","Denver, CO","Colorado",82,815,812,-3,0,0,-1,"0800-0859",14,826,1004,7,1020,1011,-9,0,0,-1,"1000-1059",0,"",245,239,218,1,1452,6,NA,NA,NA,NA,NA
"363341",2018,1,2,19,1,"2/19/2018 12:00:00 AM","DL","N994AT",1682,"TYS","Knoxville, TN","Tennessee",54,"ATL","Atlanta, GA","Georgia",34,1730,1725,-5,0,0,-1,"1700-1759",10,1735,1809,6,1838,1815,-23,0,0,-2,"1800-1859",0,"",68,50,34,1,152,1,NA,NA,NA,NA,NA
"26518",2018,1,2,2,5,"2/2/2018 12:00:00 AM","AA","N825AW",627,"PHX","Phoenix, AZ","Arizona",81,"OAK","Oakland, CA","California",91,2125,2128,3,3,0,0,"2100-2159",16,2144,2217,5,2227,2222,-5,0,0,-1,"2200-2259",0,"",122,114,93,1,646,3,NA,NA,NA,NA,NA
"218267",2018,1,2,23,5,"2/23/2018 12:00:00 AM","WN","N796SW",791,"SJU","San Juan, PR","Puerto Rico",3,"BWI","Baltimore, MD","Maryland",35,1150,1150,0,0,0,0,"1100-1159",20,1210,1449,4,1510,1453,-17,0,0,-2,"1500-1559",0,"",260,243,219,1,1565,7,NA,NA,NA,NA,NA
"375199",2018,1,2,11,7,"2/11/2018 12:00:00 AM","DL","N329DN",906,"ATL","Atlanta, GA","Georgia",34,"LGA","New York, NY","New York",22,2130,2128,-2,0,0,-1,"2100-2159",27,2155,2337,6,2344,2343,-1,0,0,-1,"2300-2359",0,"",134,135,102,1,762,4,NA,NA,NA,NA,NA
"197590",2018,1,2,7,3,"2/7/2018 12:00:00 AM","HA","N492HA",395,"OGG","Kahului, HI","Hawaii",2,"HNL","Honolulu, HI","Hawaii",2,1218,1215,-3,0,0,-1,"1200-1259",8,1223,1247,9,1259,1256,-3,0,0,-1,"1200-1259",0,"",41,41,24,1,100,1,NA,NA,NA,NA,NA
"322699",2018,1,2,9,5,"2/9/2018 12:00:00 AM","AS","N409AS",632,"SEA","Seattle, WA","Washington",93,"PHX","Phoenix, AZ","Arizona",81,2110,2106,-4,0,0,-1,"2100-2159",12,2118,26,4,100,30,-30,0,0,-2,"0001-0559",0,"",170,144,128,1,1107,5,NA,NA,NA,NA,NA
"343713",2018,1,2,15,4,"2/15/2018 12:00:00 AM","DL","N842DN",2512,"LAS","Las Vegas, NV","Nevada",85,"DTW","Detroit, MI","Michigan",43,945,937,-8,0,0,-1,"0900-0959",18,955,1541,10,1647,1551,-56,0,0,-2,"1600-1659",0,"",242,194,166,1,1749,7,NA,NA,NA,NA,NA
"176090",2018,1,2,21,3,"2/21/2018 12:00:00 AM","WN","N8622A",834,"BWI","Baltimore, MD","Maryland",35,"FLL","Fort Lauderdale, FL","Florida",33,1835,1840,5,5,0,0,"1800-1859",12,1852,2059,3,2115,2102,-13,0,0,-1,"2100-2159",0,"",160,142,127,1,925,4,NA,NA,NA,NA,NA
"16769",2018,1,2,20,2,"2/20/2018 12:00:00 AM","AA","N166NN",2607,"DFW","Dallas/Fort Worth, TX","Texas",74,"BOS","Boston, MA","Massachusetts",13,700,655,-5,0,0,-1,"0700-0759",14,709,1103,9,1137,1112,-25,0,0,-2,"1100-1159",0,"",217,197,174,1,1562,7,NA,NA,NA,NA,NA
"187227",2018,1,2,25,7,"2/25/2018 12:00:00 AM","B6","N523JB",398,"MCO","Orlando, FL","Florida",33,"LGA","New York, NY","New York",22,1215,1211,-4,0,0,-1,"1200-1259",25,1236,1434,4,1450,1438,-12,0,0,-1,"1400-1459",0,"",155,147,118,1,950,4,NA,NA,NA,NA,NA
"18126",2018,1,2,7,3,"2/7/2018 12:00:00 AM","AA","N175AN",2657,"MCO","Orlando, FL","Florida",33,"MIA","Miami, FL","Florida",33,910,908,-2,0,0,-1,"0900-0959",25,933,1013,5,1024,1018,-6,0,0,-1,"1000-1059",0,"",74,70,40,1,192,1,NA,NA,NA,NA,NA
"84067",2018,1,2,9,5,"2/9/2018 12:00:00 AM","OO","N929SW",5167,"DLH","Duluth, MN","Minnesota",63,"ORD","Chicago, IL","Illinois",41,1445,1530,45,45,1,3,"1400-1459",21,1551,1705,12,1632,1717,45,45,1,3,"1600-1659",0,"",107,107,74,1,397,2,0,0,45,0,0
"159232",2018,1,2,8,4,"2/8/2018 12:00:00 AM","WN","N8307K",5370,"SAN","San Diego, CA","California",91,"SMF","Sacramento, CA","California",91,1545,1657,72,72,1,4,"1500-1559",14,1711,1819,3,1720,1822,62,62,1,4,"1700-1759",0,"",95,85,68,1,480,2,0,0,0,0,62
