"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"67871",2018,2,6,22,5,"6/22/2018 12:00:00 AM","DL","N322DN",1602,"LAS","Las Vegas, NV","Nevada",85,"ATL","Atlanta, GA","Georgia",34,600,600,0,0,0,0,"0600-0659",12,612,1229,8,1300,1237,-23,0,0,-2,"1300-1359",0,"",240,217,197,1,1747,7,NA,NA,NA,NA,NA
"1907",2018,2,6,13,3,"6/13/2018 12:00:00 AM","EV","N17159",4034,"STL","St. Louis, MO","Missouri",64,"IAH","Houston, TX","Texas",74,855,854,-1,0,0,-1,"0800-0859",20,914,1051,5,1105,1056,-9,0,0,-1,"1100-1159",0,"",130,122,97,1,667,3,NA,NA,NA,NA,NA
"155302",2018,2,6,14,4,"6/14/2018 12:00:00 AM","AA","N145AN",1011,"DFW","Dallas/Fort Worth, TX","Texas",74,"LGA","New York, NY","New York",22,1630,1640,10,10,0,0,"1600-1659",21,1701,2111,5,2104,2116,12,12,0,0,"2100-2159",0,"",214,216,190,1,1389,6,NA,NA,NA,NA,NA
"475954",2018,2,6,5,2,"6/5/2018 12:00:00 AM","WN","N219WN",5604,"SMF","Sacramento, CA","California",91,"BUR","Burbank, CA","California",91,1300,1250,-10,0,0,-1,"1300-1359",8,1258,1355,13,1410,1408,-2,0,0,-1,"1400-1459",0,"",70,78,57,1,358,2,NA,NA,NA,NA,NA
"120219",2018,2,6,2,6,"6/2/2018 12:00:00 AM","AA","N167AN",2434,"DFW","Dallas/Fort Worth, TX","Texas",74,"MCO","Orlando, FL","Florida",33,1655,1651,-4,0,0,-1,"1600-1659",10,1701,2010,5,2033,2015,-18,0,0,-2,"2000-2059",0,"",158,144,129,1,985,4,NA,NA,NA,NA,NA
"63586",2018,2,6,12,2,"6/12/2018 12:00:00 AM","DL","N316DN",2046,"PHX","Phoenix, AZ","Arizona",81,"ATL","Atlanta, GA","Georgia",34,1617,1610,-7,0,0,-1,"1600-1659",10,1620,2234,10,2255,2244,-11,0,0,-1,"2200-2259",0,"",218,214,194,1,1587,7,NA,NA,NA,NA,NA
"159560",2018,2,6,28,4,"6/28/2018 12:00:00 AM","AA","N963UW",1936,"PHL","Philadelphia, PA","Pennsylvania",23,"PWM","Portland, ME","Maine",12,1531,1531,0,0,0,0,"1500-1559",36,1607,1704,1,1708,1705,-3,0,0,-1,"1700-1759",0,"",97,94,57,1,364,2,NA,NA,NA,NA,NA
"49242",2018,2,6,25,1,"6/25/2018 12:00:00 AM","UA","N37420",1197,"SFO","San Francisco, CA","California",91,"IAH","Houston, TX","Texas",74,100,59,-1,0,0,-1,"0001-0559",17,116,632,4,644,636,-8,0,0,-1,"0600-0659",0,"",224,217,196,1,1635,7,NA,NA,NA,NA,NA
"124236",2018,2,6,12,2,"6/12/2018 12:00:00 AM","AA","N812NN",397,"MIA","Miami, FL","Florida",33,"SJU","San Juan, PR","Puerto Rico",3,2010,2025,15,15,1,1,"2000-2059",14,2039,2244,7,2250,2251,1,1,0,0,"2200-2259",0,"",160,146,125,1,1045,5,NA,NA,NA,NA,NA
"310532",2018,2,6,28,4,"6/28/2018 12:00:00 AM","WN","N469WN",1548,"MSY","New Orleans, LA","Louisiana",72,"TPA","Tampa, FL","Florida",33,2120,2116,-4,0,0,-1,"2100-2159",7,2123,2332,3,2350,2335,-15,0,0,-1,"2300-2359",0,"",90,79,69,1,488,2,NA,NA,NA,NA,NA
"234247",2018,2,6,9,6,"6/9/2018 12:00:00 AM","DL","N301NB",2436,"LGA","New York, NY","New York",22,"PBI","West Palm Beach/Palm Beach, FL","Florida",33,1125,1120,-5,0,0,-1,"1100-1159",10,1130,1344,5,1429,1349,-40,0,0,-2,"1400-1459",0,"",184,149,134,1,1035,5,NA,NA,NA,NA,NA
