"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"142411",2019,3,8,23,5,"8/23/2019 12:00:00 AM","F9","N349FR",2069,"RDU","Raleigh/Durham, NC","North Carolina",36,"LAS","Las Vegas, NV","Nevada",85,1904,1854,-10,0,0,-1,"1900-1959",20,1914,2049,6,2058,2055,-3,0,0,-1,"2000-2059",0,"",294,301,275,1,2026,9,NA,NA,NA,NA,NA
"418515",2019,3,8,23,5,"8/23/2019 12:00:00 AM","AA","N153UW",727,"PHX","Phoenix, AZ","Arizona",81,"CLT","Charlotte, NC","North Carolina",36,1211,1211,0,0,0,0,"1200-1259",26,1237,2000,8,1926,2008,42,42,1,2,"1900-1959",0,"",255,297,263,1,1773,8,0,0,42,0,0
"223380",2019,3,8,9,5,"8/9/2019 12:00:00 AM","AA","N747UW",1831,"TUS","Tucson, AZ","Arizona",81,"PHX","Phoenix, AZ","Arizona",81,1030,1030,0,0,0,0,"1000-1059",10,1040,1105,4,1121,1109,-12,0,0,-1,"1100-1159",0,"",51,39,25,1,110,1,NA,NA,NA,NA,NA
"405631",2019,3,8,2,5,"8/2/2019 12:00:00 AM","UA","N14240",1077,"SNA","Santa Ana, CA","California",91,"SFO","San Francisco, CA","California",91,1631,1623,-8,0,0,-1,"1600-1659",12,1635,1729,5,1751,1734,-17,0,0,-2,"1700-1759",0,"",80,71,54,1,372,2,NA,NA,NA,NA,NA
"20104",2019,3,8,17,6,"8/17/2019 12:00:00 AM","WN","N570WN",4057,"DAL","Dallas, TX","Texas",74,"DEN","Denver, CO","Colorado",82,1645,1802,77,77,1,5,"1600-1659",6,1808,1913,6,1755,1919,84,84,1,5,"1700-1759",0,"",130,137,125,1,651,3,77,0,7,0,0
"509782",2019,3,8,29,4,"8/29/2019 12:00:00 AM","OO","N765SK",2972,"CRP","Corpus Christi, TX","Texas",74,"DFW","Dallas/Fort Worth, TX","Texas",74,500,455,-5,0,0,-1,"0001-0559",15,510,610,13,635,623,-12,0,0,-1,"0600-0659",0,"",95,88,60,1,354,2,NA,NA,NA,NA,NA
"345398",2019,3,8,7,3,"8/7/2019 12:00:00 AM","NK","N910NK",221,"ORD","Chicago, IL","Illinois",41,"ATL","Atlanta, GA","Georgia",34,1710,1714,4,4,0,0,"1700-1759",26,1740,2005,7,2005,2012,7,7,0,0,"2000-2059",0,"",115,118,85,1,606,3,NA,NA,NA,NA,NA
"2487",2019,3,8,21,3,"8/21/2019 12:00:00 AM","UA","N76288",386,"CID","Cedar Rapids/Iowa City, IA","Iowa",61,"DEN","Denver, CO","Colorado",82,1525,1524,-1,0,0,-1,"1500-1559",15,1539,1631,7,1632,1638,6,6,0,0,"1600-1659",0,"",127,134,112,1,692,3,NA,NA,NA,NA,NA
"639898",2019,3,8,10,6,"8/10/2019 12:00:00 AM","UA","N61898",1070,"SAN","San Diego, CA","California",91,"IAH","Houston, TX","Texas",74,1017,1348,211,211,1,12,"1000-1059",17,1405,1856,5,1533,1901,208,208,1,12,"1500-1559",0,"",196,193,171,1,1303,6,0,0,0,0,208
"589922",2019,3,8,11,7,"8/11/2019 12:00:00 AM","WN","N8583Z",5686,"BNA","Nashville, TN","Tennessee",54,"SAT","San Antonio, TX","Texas",74,1945,1943,-2,0,0,-1,"1900-1959",15,1958,2147,3,2200,2150,-10,0,0,-1,"2200-2259",0,"",135,127,109,1,822,4,NA,NA,NA,NA,NA
"494833",2019,3,8,24,6,"8/24/2019 12:00:00 AM","MQ","N848AE",4161,"DFW","Dallas/Fort Worth, TX","Texas",74,"JLN","Joplin, MO","Missouri",64,1747,1757,10,10,0,0,"1700-1759",23,1820,1921,7,1905,1928,23,23,1,1,"1900-1959",0,"",78,91,61,1,327,2,0,10,13,0,0
"107699",2019,3,8,6,2,"8/6/2019 12:00:00 AM","WN","N8621A",526,"CMH","Columbus, OH","Ohio",44,"LAS","Las Vegas, NV","Nevada",85,735,733,-2,0,0,-1,"0700-0759",8,741,835,5,845,840,-5,0,0,-1,"0800-0859",0,"",250,247,234,1,1771,8,NA,NA,NA,NA,NA
"521880",2019,3,8,10,6,"8/10/2019 12:00:00 AM","9E","N8986B",5362,"AGS","Augusta, GA","Georgia",34,"ATL","Atlanta, GA","Georgia",34,1433,1435,2,2,0,0,"1400-1459",32,1507,1545,11,1538,1556,18,18,1,1,"1500-1559",0,"",65,81,38,1,143,1,0,0,18,0,0
"477632",2019,3,8,26,1,"8/26/2019 12:00:00 AM","WN","N7813P",1527,"ELP","El Paso, TX","Texas",74,"DAL","Dallas, TX","Texas",74,1355,1356,1,1,0,0,"1300-1359",11,1407,1633,5,1640,1638,-2,0,0,-1,"1600-1659",0,"",105,102,86,1,562,3,NA,NA,NA,NA,NA
"42241",2019,3,8,5,1,"8/5/2019 12:00:00 AM","UA","N403UA",1760,"DEN","Denver, CO","Colorado",82,"SAT","San Antonio, TX","Texas",74,1544,1550,6,6,0,0,"1500-1559",16,1606,1845,4,1855,1849,-6,0,0,-1,"1800-1859",0,"",131,119,99,1,794,4,NA,NA,NA,NA,NA
"545892",2019,3,8,13,2,"8/13/2019 12:00:00 AM","YV","N86324",6056,"DTW","Detroit, MI","Michigan",43,"IAH","Houston, TX","Texas",74,855,855,0,0,0,0,"0800-0859",25,920,1112,11,1052,1123,31,31,1,2,"1000-1059",0,"",177,208,172,1,1075,5,0,0,31,0,0
"446017",2019,3,8,15,4,"8/15/2019 12:00:00 AM","YX","N859RW",3704,"ORD","Chicago, IL","Illinois",41,"DCA","Washington, DC","Virginia",38,1500,1455,-5,0,0,-1,"1500-1559",21,1516,1809,6,1811,1815,4,4,0,0,"1800-1859",0,"",131,140,113,1,612,3,NA,NA,NA,NA,NA
"616923",2019,3,8,2,5,"8/2/2019 12:00:00 AM","YX","N215JQ",6056,"LGA","New York, NY","New York",22,"BOS","Boston, MA","Massachusetts",13,1200,1200,0,0,0,0,"1200-1259",26,1226,1301,15,1325,1316,-9,0,0,-1,"1300-1359",0,"",85,76,35,1,184,1,NA,NA,NA,NA,NA
