"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"28094",2022,2,5,30,1,"5/30/2022 12:00:00 AM","OO","N431SW",5576,"DEN","Denver, CO","Colorado",82,"COD","Cody, WY","Wyoming",88,1330,1515,105,105,1,7,"1300-1359",16,1531,1645,5,1500,1650,110,110,1,7,"1500-1559",0,"",90,95,74,1,391,2,110,0,0,0,0
"164991",2022,2,5,20,5,"5/20/2022 12:00:00 AM","DL","N818DA",1588,"SFO","San Francisco, CA","California",91,"ATL","Atlanta, GA","Georgia",34,1536,1537,1,1,0,0,"1500-1559",14,1551,2245,16,2320,2301,-19,0,0,-2,"2300-2359",0,"",284,264,234,1,2139,9,NA,NA,NA,NA,NA
"87335",2022,2,5,28,6,"5/28/2022 12:00:00 AM","UA","N37510",433,"BOS","Boston, MA","Massachusetts",13,"SFO","San Francisco, CA","California",91,607,606,-1,0,0,-1,"0600-0659",19,625,932,5,949,937,-12,0,0,-1,"0900-0959",0,"",402,391,367,1,2704,11,NA,NA,NA,NA,NA
"446355",2022,2,5,1,7,"5/1/2022 12:00:00 AM","9E","N133EV",5098,"DSM","Des Moines, IA","Iowa",61,"MSP","Minneapolis, MN","Minnesota",63,540,540,0,0,0,0,"0001-0559",11,551,635,14,654,649,-5,0,0,-1,"0600-0659",0,"",74,69,44,1,232,1,NA,NA,NA,NA,NA
"514972",2022,2,5,25,3,"5/25/2022 12:00:00 AM","AA","N508AY",1331,"DFW","Dallas/Fort Worth, TX","Texas",74,"LAX","Los Angeles, CA","California",91,1230,1228,-2,0,0,-1,"1200-1259",15,1243,1331,5,1356,1336,-20,0,0,-2,"1300-1359",0,"",206,188,168,1,1235,5,NA,NA,NA,NA,NA
"306053",2022,2,5,20,5,"5/20/2022 12:00:00 AM","WN","N927WN",675,"ATL","Atlanta, GA","Georgia",34,"FLL","Fort Lauderdale, FL","Florida",33,1645,NA,NA,NA,NA,NA,"1600-1659",NA,NA,NA,NA,1840,NA,NA,NA,NA,NA,"1800-1859",1,"B",115,NA,NA,1,581,3,NA,NA,NA,NA,NA
"53895",2022,2,5,15,7,"5/15/2022 12:00:00 AM","OO","N946SW",5533,"ORD","Chicago, IL","Illinois",41,"MKE","Milwaukee, WI","Wisconsin",45,1410,1408,-2,0,0,-1,"1400-1459",31,1439,1457,10,1500,1507,7,7,0,0,"1500-1559",0,"",50,59,18,1,67,1,NA,NA,NA,NA,NA
"1598",2022,2,5,12,4,"5/12/2022 12:00:00 AM","OH","N705PS",5512,"DCA","Washington, DC","Virginia",38,"SDF","Louisville, KY","Kentucky",52,1409,1402,-7,0,0,-1,"1400-1459",34,1436,1545,7,1559,1552,-7,0,0,-1,"1500-1559",0,"",110,110,69,1,474,2,NA,NA,NA,NA,NA
"542700",2022,2,5,25,3,"5/25/2022 12:00:00 AM","AS","N293AK",612,"SEA","Seattle, WA","Washington",93,"LAS","Las Vegas, NV","Nevada",85,635,627,-8,0,0,-1,"0600-0659",16,643,841,9,905,850,-15,0,0,-1,"0900-0959",0,"",150,143,118,1,867,4,NA,NA,NA,NA,NA
"333516",2022,2,5,21,6,"5/21/2022 12:00:00 AM","WN","N8738K",1233,"ITO","Hilo, HI","Hawaii",2,"HNL","Honolulu, HI","Hawaii",2,550,550,0,0,0,0,"0001-0559",11,601,642,3,645,645,0,0,0,0,"0600-0659",0,"",55,55,41,1,216,1,NA,NA,NA,NA,NA
