"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"536276",2022,2,6,12,7,"6/12/2022 12:00:00 AM","AS","N290AK",1378,"SEA","Seattle, WA","Washington",93,"BUR","Burbank, CA","California",91,1430,1429,-1,0,0,-1,"1400-1459",13,1442,1647,7,1700,1654,-6,0,0,-1,"1700-1759",0,"",150,145,125,1,937,4,NA,NA,NA,NA,NA
"257215",2022,2,6,6,1,"6/6/2022 12:00:00 AM","NK","N605NK",1399,"EWR","Newark, NJ","New Jersey",21,"MCO","Orlando, FL","Florida",33,1600,1632,32,32,1,2,"1600-1659",85,1757,2024,35,1856,2059,123,123,1,8,"1800-1859",0,"",176,267,147,1,937,4,0,0,123,0,0
"354862",2022,2,6,13,1,"6/13/2022 12:00:00 AM","WN","N8550Q",3071,"STL","St. Louis, MO","Missouri",64,"FLL","Fort Lauderdale, FL","Florida",33,1040,1105,25,25,1,1,"1000-1059",9,1114,1428,2,1430,1430,0,0,0,0,"1400-1459",0,"",170,145,134,1,1057,5,NA,NA,NA,NA,NA
"146635",2022,2,6,11,6,"6/11/2022 12:00:00 AM","DL","N991AT",2739,"ATL","Atlanta, GA","Georgia",34,"VPS","Valparaiso, FL","Florida",33,2000,1957,-3,0,0,-1,"2000-2059",20,2017,2002,5,2011,2007,-4,0,0,-1,"2000-2059",0,"",71,70,45,1,250,2,NA,NA,NA,NA,NA
"513003",2022,2,6,21,2,"6/21/2022 12:00:00 AM","AA","N424AN",2321,"PHL","Philadelphia, PA","Pennsylvania",23,"LAX","Los Angeles, CA","California",91,1845,1847,2,2,0,0,"1800-1859",35,1922,2133,11,2130,2144,14,14,0,0,"2100-2159",0,"",345,357,311,1,2402,10,NA,NA,NA,NA,NA
"136767",2022,2,6,24,5,"6/24/2022 12:00:00 AM","DL","N332NB",1436,"RDU","Raleigh/Durham, NC","North Carolina",36,"DTW","Detroit, MI","Michigan",43,955,952,-3,0,0,-1,"0900-0959",9,1001,1119,7,1139,1126,-13,0,0,-1,"1100-1159",0,"",104,94,78,1,501,3,NA,NA,NA,NA,NA
"224714",2022,2,6,15,3,"6/15/2022 12:00:00 AM","G4","243NV",2459,"SGF","Springfield, MO","Missouri",64,"SFB","Sanford, FL","Florida",33,1654,1700,6,6,0,0,"1600-1659",10,1710,2007,4,2012,2011,-1,0,0,-1,"2000-2059",0,"",138,131,117,1,914,4,NA,NA,NA,NA,NA
"552579",2022,2,6,7,2,"6/7/2022 12:00:00 AM","B6","N373JB",1073,"JFK","New York, NY","New York",22,"BNA","Nashville, TN","Tennessee",54,829,825,-4,0,0,-1,"0800-0859",19,844,933,7,1007,940,-27,0,0,-2,"1000-1059",0,"",158,135,109,1,765,4,NA,NA,NA,NA,NA
"123562",2022,2,6,21,2,"6/21/2022 12:00:00 AM","UA","N413UA",2204,"ORD","Chicago, IL","Illinois",41,"LGA","New York, NY","New York",22,900,856,-4,0,0,-1,"0900-0959",21,917,1157,3,1209,1200,-9,0,0,-1,"1200-1259",0,"",129,124,100,1,733,3,NA,NA,NA,NA,NA
"79834",2022,2,6,26,7,"6/26/2022 12:00:00 AM","QX","N637QX",2144,"SEA","Seattle, WA","Washington",93,"RNO","Reno, NV","Nevada",85,1702,1704,2,2,0,0,"1700-1759",11,1715,1854,3,1848,1857,9,9,0,0,"1800-1859",0,"",106,113,99,1,564,3,NA,NA,NA,NA,NA
