"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"221038",2019,1,2,17,7,"2/17/2019 12:00:00 AM","WN","N403WN",2833,"BNA","Nashville, TN","Tennessee",54,"DEN","Denver, CO","Colorado",82,840,835,-5,0,0,-1,"0800-0859",12,847,1037,9,1040,1046,6,6,0,0,"1000-1059",0,"",180,191,170,1,1014,5,NA,NA,NA,NA,NA
"247186",2019,1,2,4,1,"2/4/2019 12:00:00 AM","WN","N7731A",2169,"IND","Indianapolis, IN","Indiana",42,"MCO","Orlando, FL","Florida",33,1315,1308,-7,0,0,-1,"1300-1359",10,1318,1509,5,1530,1514,-16,0,0,-2,"1500-1559",0,"",135,126,111,1,829,4,NA,NA,NA,NA,NA
"494969",2019,1,2,26,2,"2/26/2019 12:00:00 AM","OH","N708PS",5377,"BHM","Birmingham, AL","Alabama",51,"PHL","Philadelphia, PA","Pennsylvania",23,1106,1100,-6,0,0,-1,"1100-1159",13,1113,1353,7,1415,1400,-15,0,0,-1,"1400-1459",0,"",129,120,100,1,772,4,NA,NA,NA,NA,NA
"132460",2019,1,2,18,1,"2/18/2019 12:00:00 AM","WN","N447WN",1360,"LAX","Los Angeles, CA","California",91,"PHX","Phoenix, AZ","Arizona",81,955,951,-4,0,0,-1,"0900-0959",24,1015,1212,5,1225,1217,-8,0,0,-1,"1200-1259",0,"",90,86,57,1,370,2,NA,NA,NA,NA,NA
"532295",2019,1,2,13,3,"2/13/2019 12:00:00 AM","UA","N57869",1158,"LAX","Los Angeles, CA","California",91,"HNL","Honolulu, HI","Hawaii",2,810,813,3,3,0,0,"0800-0859",31,844,1254,5,1219,1259,40,40,1,2,"1200-1259",0,"",369,406,370,1,2556,11,0,0,40,0,0
"252423",2019,1,2,28,4,"2/28/2019 12:00:00 AM","9E","N8694A",5390,"CHO","Charlottesville, VA","Virginia",38,"LGA","New York, NY","New York",22,602,557,-5,0,0,-1,"0600-0659",22,619,715,22,730,737,7,7,0,0,"0700-0759",0,"",88,100,56,1,305,2,NA,NA,NA,NA,NA
"361773",2019,1,2,15,5,"2/15/2019 12:00:00 AM","DL","N914DN",858,"ATL","Atlanta, GA","Georgia",34,"ROC","Rochester, NY","New York",22,2136,2134,-2,0,0,-1,"2100-2159",16,2150,2329,6,2344,2335,-9,0,0,-1,"2300-2359",0,"",128,121,99,1,749,3,NA,NA,NA,NA,NA
"43744",2019,1,2,6,3,"2/6/2019 12:00:00 AM","WN","N250WN",620,"AUS","Austin, TX","Texas",74,"OAK","Oakland, CA","California",91,1625,1621,-4,0,0,-1,"1600-1659",11,1632,1805,6,1825,1811,-14,0,0,-1,"1800-1859",0,"",240,230,213,1,1497,6,NA,NA,NA,NA,NA
"448066",2019,1,2,28,4,"2/28/2019 12:00:00 AM","YX","N873RW",5936,"DCA","Washington, DC","Virginia",38,"LGA","New York, NY","New York",22,1800,1833,33,33,1,2,"1800-1859",25,1858,1941,5,1935,1946,11,11,0,0,"1900-1959",0,"",95,73,43,1,214,1,NA,NA,NA,NA,NA
"472805",2019,1,2,12,2,"2/12/2019 12:00:00 AM","WN","N8307K",964,"DAL","Dallas, TX","Texas",74,"MAF","Midland/Odessa, TX","Texas",74,1600,1602,2,2,0,0,"1600-1659",9,1611,1700,2,1720,1702,-18,0,0,-2,"1700-1759",0,"",80,60,49,1,319,2,NA,NA,NA,NA,NA
