"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"190130",2022,3,9,27,2,"9/27/2022 12:00:00 AM","WN","N8707P",649,"AUS","Austin, TX","Texas",74,"SLC","Salt Lake City, UT","Utah",87,1225,1225,0,0,0,0,"1200-1259",14,1239,1359,8,1415,1407,-8,0,0,-1,"1400-1459",0,"",170,162,140,1,1086,5,NA,NA,NA,NA,NA
"445998",2022,3,9,6,2,"9/6/2022 12:00:00 AM","AA","N948NN",1564,"SAT","San Antonio, TX","Texas",74,"DFW","Dallas/Fort Worth, TX","Texas",74,2030,2013,-17,0,0,-2,"2000-2059",14,2027,2114,11,2140,2125,-15,0,0,-1,"2100-2159",0,"",70,72,47,1,247,1,NA,NA,NA,NA,NA
"214435",2022,3,9,27,2,"9/27/2022 12:00:00 AM","WN","N415WN",668,"LAS","Las Vegas, NV","Nevada",85,"SAN","San Diego, CA","California",91,2120,2131,11,11,0,0,"2100-2159",13,2144,2226,1,2225,2227,2,2,0,0,"2200-2259",0,"",65,56,42,1,258,2,NA,NA,NA,NA,NA
"147166",2022,3,9,28,3,"9/28/2022 12:00:00 AM","YX","N105HQ",4851,"DCA","Washington, DC","Virginia",38,"RDU","Raleigh/Durham, NC","North Carolina",36,1759,1758,-1,0,0,-1,"1700-1759",14,1812,1901,10,1915,1911,-4,0,0,-1,"1900-1959",0,"",76,73,49,1,227,1,NA,NA,NA,NA,NA
"520319",2022,3,9,18,7,"9/18/2022 12:00:00 AM","AS","N615AS",485,"SMF","Sacramento, CA","California",91,"SEA","Seattle, WA","Washington",93,2035,2036,1,1,0,0,"2000-2059",23,2059,2215,10,2239,2225,-14,0,0,-1,"2200-2259",0,"",124,109,76,1,605,3,NA,NA,NA,NA,NA
"460324",2022,3,9,14,3,"9/14/2022 12:00:00 AM","AA","N414AL",14,"OGG","Kahului, HI","Hawaii",2,"LAX","Los Angeles, CA","California",91,2259,2256,-3,0,0,-1,"2200-2259",18,2314,654,9,718,703,-15,0,0,-1,"0700-0759",0,"",319,307,280,1,2486,10,NA,NA,NA,NA,NA
"418747",2022,3,9,10,6,"9/10/2022 12:00:00 AM","9E","N924XJ",4631,"RDU","Raleigh/Durham, NC","North Carolina",36,"JFK","New York, NY","New York",22,1555,1550,-5,0,0,-1,"1500-1559",12,1602,1706,8,1756,1714,-42,0,0,-2,"1700-1759",0,"",121,84,64,1,427,2,NA,NA,NA,NA,NA
"265468",2022,3,9,17,6,"9/17/2022 12:00:00 AM","WN","N760SW",549,"BNA","Nashville, TN","Tennessee",54,"HOU","Houston, TX","Texas",74,935,NA,NA,NA,NA,NA,"0900-0959",NA,NA,NA,NA,1145,NA,NA,NA,NA,NA,"1100-1159",1,"C",130,NA,NA,1,670,3,NA,NA,NA,NA,NA
"522362",2022,3,9,21,3,"9/21/2022 12:00:00 AM","AS","N468AS",642,"DEN","Denver, CO","Colorado",82,"SEA","Seattle, WA","Washington",93,1720,1742,22,22,1,1,"1700-1759",17,1759,1915,5,1920,1920,0,0,0,0,"1900-1959",0,"",180,158,136,1,1024,5,NA,NA,NA,NA,NA
"531831",2022,3,9,4,7,"9/4/2022 12:00:00 AM","B6","N266JB",2355,"BOS","Boston, MA","Massachusetts",13,"DCA","Washington, DC","Virginia",38,2000,1952,-8,0,0,-1,"2000-2059",20,2012,2128,4,2138,2132,-6,0,0,-1,"2100-2159",0,"",98,100,76,1,399,2,NA,NA,NA,NA,NA
