"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"163475",2020,1,2,10,1,"2/10/2020 12:00:00 AM","EV","N19554",3990,"IAH","Houston, TX","Texas",74,"AMA","Amarillo, TX","Texas",74,935,933,-2,0,0,-1,"0900-0959",49,1022,1144,5,1124,1149,25,25,1,1,"1100-1159",0,"",109,136,82,1,517,3,0,0,25,0,0
"247318",2020,1,2,3,1,"2/3/2020 12:00:00 AM","OO","N162SY",5814,"ORD","Chicago, IL","Illinois",41,"BOI","Boise, ID","Idaho",83,1009,1006,-3,0,0,-1,"1000-1059",25,1031,1306,3,1337,1309,-28,0,0,-2,"1300-1359",0,"",268,243,215,1,1437,6,NA,NA,NA,NA,NA
"132547",2020,1,2,18,2,"2/18/2020 12:00:00 AM","DL","N976DL",1657,"OMA","Omaha, NE","Nebraska",65,"ATL","Atlanta, GA","Georgia",34,1821,1837,16,16,1,1,"1800-1859",20,1857,2145,14,2144,2159,15,15,1,1,"2100-2159",0,"",143,142,108,1,821,4,0,0,0,0,15
"229197",2020,1,2,20,4,"2/20/2020 12:00:00 AM","UA","N16703",1002,"SNA","Santa Ana, CA","California",91,"EWR","Newark, NJ","New Jersey",21,745,754,9,9,0,0,"0700-0759",12,806,1515,6,1602,1521,-41,0,0,-2,"1600-1659",0,"",317,267,249,1,2434,10,NA,NA,NA,NA,NA
"392777",2020,1,2,13,4,"2/13/2020 12:00:00 AM","OO","N299SY",4054,"LGA","New York, NY","New York",22,"CLE","Cleveland, OH","Ohio",44,1529,1634,65,65,1,4,"1500-1559",15,1649,1817,8,1729,1825,56,56,1,3,"1700-1759",0,"",120,111,88,1,419,2,0,0,56,0,0
"534211",2020,1,2,3,1,"2/3/2020 12:00:00 AM","F9","N346FR",100,"ATL","Atlanta, GA","Georgia",34,"SJU","San Juan, PR","Puerto Rico",3,724,714,-10,0,0,-1,"0700-0759",17,731,1123,13,1205,1136,-29,0,0,-2,"1200-1259",0,"",221,202,172,1,1547,7,NA,NA,NA,NA,NA
"510480",2020,1,2,17,1,"2/17/2020 12:00:00 AM","NK","N658NK",362,"IAH","Houston, TX","Texas",74,"ATL","Atlanta, GA","Georgia",34,2150,2147,-3,0,0,-1,"2100-2159",26,2213,39,7,49,46,-3,0,0,-1,"0001-0559",0,"",119,119,86,1,689,3,NA,NA,NA,NA,NA
"354568",2020,1,2,19,3,"2/19/2020 12:00:00 AM","WN","N7858A",1713,"AUS","Austin, TX","Texas",74,"DEN","Denver, CO","Colorado",82,1950,1949,-1,0,0,-1,"1900-1959",12,2001,2053,6,2105,2059,-6,0,0,-1,"2100-2159",0,"",135,130,112,1,775,4,NA,NA,NA,NA,NA
"37197",2020,1,2,29,6,"2/29/2020 12:00:00 AM","AA","N825AW",1208,"PHX","Phoenix, AZ","Arizona",81,"ABQ","Albuquerque, NM","New Mexico",86,1959,1953,-6,0,0,-1,"1900-1959",16,2009,2055,6,2110,2101,-9,0,0,-1,"2100-2159",0,"",71,68,46,1,328,2,NA,NA,NA,NA,NA
"497055",2020,1,2,9,7,"2/9/2020 12:00:00 AM","WN","N939WN",5478,"LAS","Las Vegas, NV","Nevada",85,"TUL","Tulsa, OK","Oklahoma",73,1825,1820,-5,0,0,-1,"1800-1859",11,1831,2234,4,2250,2238,-12,0,0,-1,"2200-2259",0,"",145,138,123,1,1076,5,NA,NA,NA,NA,NA
