"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"32680",2018,4,10,18,4,"10/18/2018 12:00:00 AM","DL","N945DL",2386,"ATL","Atlanta, GA","Georgia",34,"EWR","Newark, NJ","New Jersey",21,2118,2118,0,0,0,0,"2100-2159",29,2147,2329,7,2328,2336,8,8,0,0,"2300-2359",0,"",130,138,102,1,746,3,NA,NA,NA,NA,NA
"540713",2018,4,10,17,3,"10/17/2018 12:00:00 AM","YX","N432YX",4483,"DCA","Washington, DC","Virginia",38,"SDF","Louisville, KY","Kentucky",52,2000,1955,-5,0,0,-1,"2000-2059",19,2014,2135,7,2154,2142,-12,0,0,-1,"2100-2159",0,"",114,107,81,1,474,2,NA,NA,NA,NA,NA
"205877",2018,4,10,19,5,"10/19/2018 12:00:00 AM","OO","N936SW",4922,"RAP","Rapid City, SD","South Dakota",67,"SLC","Salt Lake City, UT","Utah",87,815,805,-10,0,0,-1,"0800-0859",13,818,934,8,1018,942,-36,0,0,-2,"1000-1059",0,"",123,97,76,1,508,3,NA,NA,NA,NA,NA
"241226",2018,4,10,31,3,"10/31/2018 12:00:00 AM","OO","N134SY",5676,"SBP","San Luis Obispo, CA","California",91,"DEN","Denver, CO","Colorado",82,525,515,-10,0,0,-1,"0001-0559",26,541,901,9,904,910,6,6,0,0,"0900-0959",0,"",159,175,140,1,931,4,NA,NA,NA,NA,NA
"126669",2018,4,10,15,1,"10/15/2018 12:00:00 AM","EV","N611QX",2877,"DFW","Dallas/Fort Worth, TX","Texas",74,"CLL","College Station/Bryan, TX","Texas",74,1706,1941,155,155,1,10,"1700-1759",20,2001,2040,3,1759,2043,164,164,1,10,"1700-1759",0,"",53,62,39,1,164,1,130,0,9,0,25
"408289",2018,4,10,18,4,"10/18/2018 12:00:00 AM","HA","N582HA",36,"HNL","Honolulu, HI","Hawaii",2,"PHX","Phoenix, AZ","Arizona",81,1225,1239,14,14,0,0,"1200-1259",14,1253,2112,9,2130,2121,-9,0,0,-1,"2100-2159",0,"",365,342,319,1,2917,11,NA,NA,NA,NA,NA
"448614",2018,4,10,30,2,"10/30/2018 12:00:00 AM","DL","N361NW",2803,"BOS","Boston, MA","Massachusetts",13,"LGA","New York, NY","New York",22,1800,1756,-4,0,0,-1,"1800-1859",29,1825,1909,6,1930,1915,-15,0,0,-1,"1900-1959",0,"",90,79,44,1,184,1,NA,NA,NA,NA,NA
"204201",2018,4,10,11,4,"10/11/2018 12:00:00 AM","OO","N152SY",5334,"SFO","San Francisco, CA","California",91,"SAT","San Antonio, TX","Texas",74,1040,1038,-2,0,0,-1,"1000-1059",19,1057,1553,7,1618,1600,-18,0,0,-2,"1600-1659",0,"",218,202,176,1,1482,6,NA,NA,NA,NA,NA
"227958",2018,4,10,15,1,"10/15/2018 12:00:00 AM","WN","N7851A",2105,"MDW","Chicago, IL","Illinois",41,"CLT","Charlotte, NC","North Carolina",36,1430,1450,20,20,1,1,"1400-1459",11,1501,1716,6,1720,1722,2,2,0,0,"1700-1759",0,"",110,92,75,1,584,3,NA,NA,NA,NA,NA
"581501",2018,4,10,17,3,"10/17/2018 12:00:00 AM","DL","N341NB",2497,"DTW","Detroit, MI","Michigan",43,"ALB","Albany, NY","New York",22,2208,2202,-6,0,0,-1,"2200-2259",15,2217,2318,6,2338,2324,-14,0,0,-1,"2300-2359",0,"",90,82,61,1,489,2,NA,NA,NA,NA,NA
"73183",2018,4,10,31,3,"10/31/2018 12:00:00 AM","YV","N326MS",5877,"JAN","Jackson/Vicksburg, MS","Mississippi",53,"DFW","Dallas/Fort Worth, TX","Texas",74,625,615,-10,0,0,-1,"0600-0659",31,646,756,14,805,810,5,5,0,0,"0800-0859",0,"",100,115,70,1,408,2,NA,NA,NA,NA,NA
"153038",2018,4,10,21,7,"10/21/2018 12:00:00 AM","UA","N78448",1213,"ORD","Chicago, IL","Illinois",41,"SFO","San Francisco, CA","California",91,1554,1557,3,3,0,0,"1500-1559",26,1623,1825,4,1832,1829,-3,0,0,-1,"1800-1859",0,"",278,272,242,1,1846,8,NA,NA,NA,NA,NA
"442500",2018,4,10,1,1,"10/1/2018 12:00:00 AM","DL","N938DN",1672,"ATL","Atlanta, GA","Georgia",34,"BUF","Buffalo, NY","New York",22,817,813,-4,0,0,-1,"0800-0859",10,823,955,4,1015,959,-16,0,0,-2,"1000-1059",0,"",118,106,92,1,712,3,NA,NA,NA,NA,NA
"13843",2018,4,10,1,1,"10/1/2018 12:00:00 AM","DL","N991DL",1199,"ATL","Atlanta, GA","Georgia",34,"STL","St. Louis, MO","Missouri",64,1634,1647,13,13,0,0,"1600-1659",22,1709,1724,4,1713,1728,15,15,1,1,"1700-1759",0,"",99,101,75,1,484,2,13,0,2,0,0
"348732",2018,4,10,23,2,"10/23/2018 12:00:00 AM","WN","N8528Q",2201,"BWI","Baltimore, MD","Maryland",35,"PHX","Phoenix, AZ","Arizona",81,655,706,11,11,0,0,"0600-0659",8,714,902,6,855,908,13,13,0,0,"0800-0859",0,"",300,302,288,1,1999,8,NA,NA,NA,NA,NA
"126051",2018,4,10,4,4,"10/4/2018 12:00:00 AM","EV","N611QX",2861,"MKE","Milwaukee, WI","Wisconsin",45,"CLT","Charlotte, NC","North Carolina",36,722,715,-7,0,0,-1,"0700-0759",12,727,1000,15,1041,1015,-26,0,0,-2,"1000-1059",0,"",139,120,93,1,651,3,NA,NA,NA,NA,NA
"382059",2018,4,10,1,1,"10/1/2018 12:00:00 AM","AA","N704US",819,"CHS","Charleston, SC","South Carolina",37,"CLT","Charlotte, NC","North Carolina",36,653,709,16,16,1,1,"0600-0659",10,719,755,10,755,805,10,10,0,0,"0700-0759",0,"",62,56,36,1,168,1,NA,NA,NA,NA,NA
"606019",2018,4,10,5,5,"10/5/2018 12:00:00 AM","DL","N937DL",2349,"IND","Indianapolis, IN","Indiana",42,"ATL","Atlanta, GA","Georgia",34,810,807,-3,0,0,-1,"0800-0859",11,818,927,5,941,932,-9,0,0,-1,"0900-0959",0,"",91,85,69,1,432,2,NA,NA,NA,NA,NA
"210983",2018,4,10,18,4,"10/18/2018 12:00:00 AM","AA","N191UW",507,"PHX","Phoenix, AZ","Arizona",81,"CLT","Charlotte, NC","North Carolina",36,500,457,-3,0,0,-1,"0001-0559",12,509,1128,15,1159,1143,-16,0,0,-2,"1100-1159",0,"",239,226,199,1,1773,8,NA,NA,NA,NA,NA
"130827",2018,4,10,2,2,"10/2/2018 12:00:00 AM","OO","N182SY",3355,"SLC","Salt Lake City, UT","Utah",87,"BOI","Boise, ID","Idaho",83,2000,1939,-21,0,0,-2,"2000-2059",15,1954,2043,4,2108,2047,-21,0,0,-2,"2100-2159",0,"",68,68,49,1,290,2,NA,NA,NA,NA,NA
"296790",2018,4,10,12,5,"10/12/2018 12:00:00 AM","DL","N948AT",1376,"ATL","Atlanta, GA","Georgia",34,"GPT","Gulfport/Biloxi, MS","Mississippi",53,1706,1701,-5,0,0,-1,"1700-1759",16,1717,1712,4,1723,1716,-7,0,0,-1,"1700-1759",0,"",77,75,55,1,352,2,NA,NA,NA,NA,NA
"53913",2018,4,10,14,7,"10/14/2018 12:00:00 AM","WN","N8706W",2916,"FLL","Fort Lauderdale, FL","Florida",33,"PVD","Providence, RI","Rhode Island",15,1235,1229,-6,0,0,-1,"1200-1259",14,1243,1512,5,1535,1517,-18,0,0,-2,"1500-1559",0,"",180,168,149,1,1188,5,NA,NA,NA,NA,NA
"325485",2018,4,10,11,4,"10/11/2018 12:00:00 AM","DL","N539US",1768,"OGG","Kahului, HI","Hawaii",2,"SEA","Seattle, WA","Washington",93,2025,2023,-2,0,0,-1,"2000-2059",11,2034,444,6,500,450,-10,0,0,-1,"0001-0559",0,"",335,327,310,1,2640,11,NA,NA,NA,NA,NA
"96311",2018,4,10,22,1,"10/22/2018 12:00:00 AM","AA","N9615W",1364,"ORD","Chicago, IL","Illinois",41,"MSP","Minneapolis, MN","Minnesota",63,1705,1713,8,8,0,0,"1700-1759",18,1731,1842,2,1834,1844,10,10,0,0,"1800-1859",0,"",89,91,71,1,334,2,NA,NA,NA,NA,NA
