"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"367404",2018,3,9,20,4,"9/20/2018 12:00:00 AM","WN","N709SW",6859,"SMF","Sacramento, CA","California",91,"LGB","Long Beach, CA","California",91,850,845,-5,0,0,-1,"0800-0859",14,859,1005,5,1015,1010,-5,0,0,-1,"1000-1059",0,"",85,85,66,1,387,2,NA,NA,NA,NA,NA
"340598",2018,3,9,15,6,"9/15/2018 12:00:00 AM","OO","N132SY",5216,"SFO","San Francisco, CA","California",91,"OMA","Omaha, NE","Nebraska",65,1746,1733,-13,0,0,-1,"1700-1759",18,1751,2237,4,2318,2241,-37,0,0,-2,"2300-2359",0,"",212,188,166,1,1433,6,NA,NA,NA,NA,NA
"139082",2018,3,9,17,1,"9/17/2018 12:00:00 AM","MQ","N657AE",4187,"PIA","Peoria, IL","Illinois",41,"ORD","Chicago, IL","Illinois",41,1805,1754,-11,0,0,-1,"1800-1859",11,1805,1833,19,1909,1852,-17,0,0,-2,"1900-1959",0,"",64,58,28,1,130,1,NA,NA,NA,NA,NA
"154034",2018,3,9,10,1,"9/10/2018 12:00:00 AM","B6","N328JB",107,"PWM","Portland, ME","Maine",12,"JFK","New York, NY","New York",22,1043,1053,10,10,0,0,"1000-1059",8,1101,1200,8,1200,1208,8,8,0,0,"1200-1259",0,"",77,75,59,1,273,2,NA,NA,NA,NA,NA
"474568",2018,3,9,21,5,"9/21/2018 12:00:00 AM","OO","N675BR",4857,"DLH","Duluth, MN","Minnesota",63,"MSP","Minneapolis, MN","Minnesota",63,1745,1736,-9,0,0,-1,"1700-1759",31,1807,1845,5,1855,1850,-5,0,0,-1,"1800-1859",0,"",70,74,38,1,144,1,NA,NA,NA,NA,NA
"192917",2018,3,9,16,7,"9/16/2018 12:00:00 AM","OO","N250SY",4145,"SEA","Seattle, WA","Washington",93,"SLC","Salt Lake City, UT","Utah",87,2045,2038,-7,0,0,-1,"2000-2059",22,2100,2328,3,2346,2331,-15,0,0,-1,"2300-2359",0,"",121,113,88,1,689,3,NA,NA,NA,NA,NA
"470663",2018,3,9,23,7,"9/23/2018 12:00:00 AM","OH","N589NN",5358,"CLT","Charlotte, NC","North Carolina",36,"MYR","Myrtle Beach, SC","South Carolina",37,1430,1429,-1,0,0,-1,"1400-1459",17,1446,1517,5,1530,1522,-8,0,0,-1,"1500-1559",0,"",60,53,31,1,157,1,NA,NA,NA,NA,NA
"122918",2018,3,9,5,3,"9/5/2018 12:00:00 AM","B6","N267JB",724,"MCO","Orlando, FL","Florida",33,"DCA","Washington, DC","Virginia",38,1450,1447,-3,0,0,-1,"1400-1459",10,1457,1649,12,1658,1701,3,3,0,0,"1600-1659",0,"",128,134,112,1,759,4,NA,NA,NA,NA,NA
"381339",2018,3,9,3,1,"9/3/2018 12:00:00 AM","EV","N754EV",5566,"ATL","Atlanta, GA","Georgia",34,"EYW","Key West, FL","Florida",33,1740,555,735,735,1,12,"1700-1759",17,612,742,2,1930,744,734,734,1,12,"1900-1959",0,"",110,109,90,1,646,3,734,0,0,0,0
"111634",2018,3,9,13,4,"9/13/2018 12:00:00 AM","UA","N26215",277,"DEN","Denver, CO","Colorado",82,"CID","Cedar Rapids/Iowa City, IA","Iowa",61,2030,2022,-8,0,0,-1,"2000-2059",22,2044,2305,6,2319,2311,-8,0,0,-1,"2300-2359",0,"",109,109,81,1,692,3,NA,NA,NA,NA,NA
"337099",2018,3,9,13,4,"9/13/2018 12:00:00 AM","OO","N987SW",5845,"DEN","Denver, CO","Colorado",82,"HLN","Helena, MT","Montana",84,1215,1212,-3,0,0,-1,"1200-1259",27,1239,1414,5,1415,1419,4,4,0,0,"1400-1459",0,"",120,127,95,1,594,3,NA,NA,NA,NA,NA
"541516",2018,3,9,15,6,"9/15/2018 12:00:00 AM","AA","N752US",1921,"MIA","Miami, FL","Florida",33,"TPA","Tampa, FL","Florida",33,2130,2124,-6,0,0,-1,"2100-2159",16,2140,2216,3,2239,2219,-20,0,0,-2,"2200-2259",0,"",69,55,36,1,204,1,NA,NA,NA,NA,NA
"321195",2018,3,9,21,5,"9/21/2018 12:00:00 AM","OH","N578NN",5342,"ILM","Wilmington, NC","North Carolina",36,"PHL","Philadelphia, PA","Pennsylvania",23,1744,1732,-12,0,0,-1,"1700-1759",17,1749,1856,16,1921,1912,-9,0,0,-1,"1900-1959",0,"",97,100,67,1,413,2,NA,NA,NA,NA,NA
"89369",2018,3,9,12,3,"9/12/2018 12:00:00 AM","DL","N359NB",1525,"MSP","Minneapolis, MN","Minnesota",63,"MIA","Miami, FL","Florida",33,855,852,-3,0,0,-1,"0800-0859",17,909,1314,2,1338,1316,-22,0,0,-2,"1300-1359",0,"",223,204,185,1,1501,7,NA,NA,NA,NA,NA
"505935",2018,3,9,7,5,"9/7/2018 12:00:00 AM","WN","N7861J",267,"LAS","Las Vegas, NV","Nevada",85,"LAX","Los Angeles, CA","California",91,2015,2038,23,23,1,1,"2000-2059",14,2052,2133,4,2130,2137,7,7,0,0,"2100-2159",0,"",75,59,41,1,236,1,NA,NA,NA,NA,NA
"471534",2018,3,9,2,7,"9/2/2018 12:00:00 AM","OH","N226JS",5389,"ORF","Norfolk, VA","Virginia",38,"PHL","Philadelphia, PA","Pennsylvania",23,1421,1452,31,31,1,2,"1400-1459",13,1505,1551,3,1533,1554,21,21,1,1,"1500-1559",0,"",72,62,46,1,212,1,21,0,0,0,0
"559730",2018,3,9,27,4,"9/27/2018 12:00:00 AM","DL","N833DN",1128,"ATL","Atlanta, GA","Georgia",34,"LAX","Los Angeles, CA","California",91,2130,2126,-4,0,0,-1,"2100-2159",18,2144,2238,8,2312,2246,-26,0,0,-2,"2300-2359",0,"",282,260,234,1,1947,8,NA,NA,NA,NA,NA
"217667",2018,3,9,28,5,"9/28/2018 12:00:00 AM","WN","N945WN",500,"MCO","Orlando, FL","Florida",33,"ATL","Atlanta, GA","Georgia",34,2110,2108,-2,0,0,-1,"2100-2159",8,2116,2216,12,2230,2228,-2,0,0,-1,"2200-2259",0,"",80,80,60,1,404,2,NA,NA,NA,NA,NA
"249513",2018,3,9,17,1,"9/17/2018 12:00:00 AM","AA","N897NN",2748,"SEA","Seattle, WA","Washington",93,"DFW","Dallas/Fort Worth, TX","Texas",74,530,557,27,27,1,1,"0001-0559",27,624,1142,11,1130,1153,23,23,1,1,"1100-1159",0,"",240,236,198,1,1660,7,23,0,0,0,0
