"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"304209",2021,2,4,23,5,"4/23/2021 12:00:00 AM","AA","N906NN",1255,"MCI","Kansas City, MO","Missouri",64,"MIA","Miami, FL","Florida",33,530,522,-8,0,0,-1,"0001-0559",11,533,850,11,938,901,-37,0,0,-2,"0900-0959",0,"",188,159,137,1,1251,6,NA,NA,NA,NA,NA
"414489",2021,2,4,4,7,"4/4/2021 12:00:00 AM","OO","N252SY",3759,"SLC","Salt Lake City, UT","Utah",87,"EUG","Eugene, OR","Oregon",92,2240,36,116,116,1,7,"2200-2259",13,49,127,5,2346,132,106,106,1,7,"2300-2359",0,"",126,116,98,1,618,3,106,0,0,0,0
"370386",2021,2,4,7,3,"4/7/2021 12:00:00 AM","DL","N980AT",2641,"ATL","Atlanta, GA","Georgia",34,"RDU","Raleigh/Durham, NC","North Carolina",36,2205,2201,-4,0,0,-1,"2200-2259",12,2213,2315,3,2324,2318,-6,0,0,-1,"2300-2359",0,"",79,77,62,1,356,2,NA,NA,NA,NA,NA
"287296",2021,2,4,20,2,"4/20/2021 12:00:00 AM","WN","N8671D",3837,"LAS","Las Vegas, NV","Nevada",85,"DAL","Dallas, TX","Texas",74,1800,1759,-1,0,0,-1,"1800-1859",8,1807,2211,6,2235,2217,-18,0,0,-2,"2200-2259",0,"",155,138,124,1,1067,5,NA,NA,NA,NA,NA
"367255",2021,2,4,3,6,"4/3/2021 12:00:00 AM","DL","N330DX",955,"ABQ","Albuquerque, NM","New Mexico",86,"ATL","Atlanta, GA","Georgia",34,1424,1415,-9,0,0,-1,"1400-1459",11,1426,1903,4,1915,1907,-8,0,0,-1,"1900-1959",0,"",171,172,157,1,1269,6,NA,NA,NA,NA,NA
"193827",2021,2,4,10,6,"4/10/2021 12:00:00 AM","UA","N48127",1604,"DEN","Denver, CO","Colorado",82,"OGG","Kahului, HI","Hawaii",2,1125,1305,100,100,1,6,"1100-1159",23,1328,1654,5,1458,1659,121,121,1,8,"1400-1459",0,"",453,474,446,1,3302,11,100,0,21,0,0
"332444",2021,2,4,19,1,"4/19/2021 12:00:00 AM","OH","N723PS",5451,"CLT","Charlotte, NC","North Carolina",36,"FNT","Flint, MI","Michigan",43,910,903,-7,0,0,-1,"0900-0959",15,918,1048,5,1113,1053,-20,0,0,-2,"1100-1159",0,"",123,110,90,1,555,3,NA,NA,NA,NA,NA
"283395",2021,2,4,10,6,"4/10/2021 12:00:00 AM","WN","N458WN",2494,"DEN","Denver, CO","Colorado",82,"MSP","Minneapolis, MN","Minnesota",63,1040,1040,0,0,0,0,"1000-1059",11,1051,1326,2,1335,1328,-7,0,0,-1,"1300-1359",0,"",115,108,95,1,680,3,NA,NA,NA,NA,NA
"394422",2021,2,4,4,7,"4/4/2021 12:00:00 AM","B6","N746JB",2427,"EWR","Newark, NJ","New Jersey",21,"MCO","Orlando, FL","Florida",33,1736,1732,-4,0,0,-1,"1700-1759",17,1749,1951,19,2027,2010,-17,0,0,-2,"2000-2059",0,"",171,158,122,1,937,4,NA,NA,NA,NA,NA
"233366",2021,2,4,24,6,"4/24/2021 12:00:00 AM","9E","N8908D",4903,"DTW","Detroit, MI","Michigan",43,"CID","Cedar Rapids/Iowa City, IA","Iowa",61,1630,1627,-3,0,0,-1,"1600-1659",10,1637,1644,6,1716,1650,-26,0,0,-2,"1700-1759",0,"",106,83,67,1,430,2,NA,NA,NA,NA,NA
