"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"56740",2021,3,8,18,3,"8/18/2021 12:00:00 AM","OO","N924SW",5021,"ORD","Chicago, IL","Illinois",41,"SUX","Sioux City, IA","Iowa",61,2105,2112,7,7,0,0,"2100-2159",35,2147,2250,5,2241,2255,14,14,0,0,"2200-2259",0,"",96,103,63,1,436,2,NA,NA,NA,NA,NA
"320269",2021,3,8,10,2,"8/10/2021 12:00:00 AM","DL","N333NW",2997,"PWM","Portland, ME","Maine",12,"ATL","Atlanta, GA","Georgia",34,710,712,2,2,0,0,"0700-0759",16,728,940,15,959,955,-4,0,0,-1,"0900-0959",0,"",169,163,132,1,1027,5,NA,NA,NA,NA,NA
"83882",2021,3,8,26,4,"8/26/2021 12:00:00 AM","QX","N422QX",2086,"SEA","Seattle, WA","Washington",93,"ALW","Walla Walla, WA","Washington",93,2252,2255,3,3,0,0,"2200-2259",10,2305,2345,4,2351,2349,-2,0,0,-1,"2300-2359",0,"",59,54,40,1,213,1,NA,NA,NA,NA,NA
"281374",2021,3,8,24,2,"8/24/2021 12:00:00 AM","YX","N746YX",3646,"SYR","Syracuse, NY","New York",22,"IAD","Washington, DC","Virginia",38,1945,1940,-5,0,0,-1,"1900-1959",11,1951,2049,4,2100,2053,-7,0,0,-1,"2100-2159",0,"",75,73,58,1,296,2,NA,NA,NA,NA,NA
"174672",2021,3,8,21,6,"8/21/2021 12:00:00 AM","WN","N909WN",2406,"DEN","Denver, CO","Colorado",82,"PHL","Philadelphia, PA","Pennsylvania",23,1215,1221,6,6,0,0,"1200-1259",10,1231,1733,5,1750,1738,-12,0,0,-1,"1700-1759",0,"",215,197,182,1,1558,7,NA,NA,NA,NA,NA
"149345",2021,3,8,20,5,"8/20/2021 12:00:00 AM","WN","N8645A",528,"ATL","Atlanta, GA","Georgia",34,"FLL","Fort Lauderdale, FL","Florida",33,605,608,3,3,0,0,"0600-0659",14,622,742,3,800,745,-15,0,0,-1,"0800-0859",0,"",115,97,80,1,581,3,NA,NA,NA,NA,NA
"109691",2021,3,8,6,5,"8/6/2021 12:00:00 AM","UA","N2142U",300,"SFO","San Francisco, CA","California",91,"HNL","Honolulu, HI","Hawaii",2,1320,1339,19,19,1,1,"1300-1359",37,1416,1551,3,1532,1554,22,22,1,1,"1500-1559",0,"",312,315,275,1,2398,10,8,0,3,0,11
"263593",2021,3,8,16,1,"8/16/2021 12:00:00 AM","YX","N108HQ",4926,"CLT","Charlotte, NC","North Carolina",36,"HHH","Hilton Head, SC","South Carolina",37,1625,NA,NA,NA,NA,NA,"1600-1659",NA,NA,NA,NA,1733,NA,NA,NA,NA,NA,"1700-1759",1,"B",68,NA,NA,1,207,1,NA,NA,NA,NA,NA
"533820",2021,3,8,4,3,"8/4/2021 12:00:00 AM","AS","N614AS",183,"ANC","Anchorage, AK","Alaska",1,"FAI","Fairbanks, AK","Alaska",1,2255,2241,-14,0,0,-1,"2200-2259",19,2300,2340,5,2357,2345,-12,0,0,-1,"2300-2359",0,"",62,64,40,1,261,2,NA,NA,NA,NA,NA
"488772",2021,3,8,8,7,"8/8/2021 12:00:00 AM","AA","N918NN",821,"RSW","Fort Myers, FL","Florida",33,"PHL","Philadelphia, PA","Pennsylvania",23,700,655,-5,0,0,-1,"0700-0759",10,705,917,14,943,931,-12,0,0,-1,"0900-0959",0,"",163,156,132,1,993,4,NA,NA,NA,NA,NA
"281438",2021,3,8,25,3,"8/25/2021 12:00:00 AM","YX","N731YX",3414,"CLT","Charlotte, NC","North Carolina",36,"EWR","Newark, NJ","New Jersey",21,1420,1416,-4,0,0,-1,"1400-1459",22,1438,1559,13,1622,1612,-10,0,0,-1,"1600-1659",0,"",122,116,81,1,529,3,NA,NA,NA,NA,NA
"529802",2021,3,8,16,1,"8/16/2021 12:00:00 AM","AA","N192UW",2475,"LAS","Las Vegas, NV","Nevada",85,"LAX","Los Angeles, CA","California",91,1559,1602,3,3,0,0,"1500-1559",14,1616,1701,8,1714,1709,-5,0,0,-1,"1700-1759",0,"",75,67,45,1,236,1,NA,NA,NA,NA,NA
"24191",2021,3,8,11,3,"8/11/2021 12:00:00 AM","OO","N132SY",5717,"ORD","Chicago, IL","Illinois",41,"OKC","Oklahoma City, OK","Oklahoma",73,1955,2116,81,81,1,5,"1900-1959",27,2143,2323,4,2207,2327,80,80,1,5,"2200-2259",0,"",132,131,100,1,693,3,0,80,0,0,0
"109862",2021,3,8,5,4,"8/5/2021 12:00:00 AM","UA","N19117",2444,"EWR","Newark, NJ","New Jersey",21,"DEN","Denver, CO","Colorado",82,820,816,-4,0,0,-1,"0800-0859",27,843,1008,7,1031,1015,-16,0,0,-2,"1000-1059",0,"",251,239,205,1,1605,7,NA,NA,NA,NA,NA
