"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"250935",2019,1,1,31,4,"1/31/2019 12:00:00 AM","WN","N7874B",1472,"FLL","Fort Lauderdale, FL","Florida",33,"SAT","San Antonio, TX","Texas",74,1535,1555,20,20,1,1,"1500-1559",19,1614,1810,3,1755,1813,18,18,1,1,"1700-1759",0,"",200,198,176,1,1145,5,18,0,0,0,0
"133122",2019,1,1,11,5,"1/11/2019 12:00:00 AM","OH","N570NN",5062,"PNS","Pensacola, FL","Florida",33,"CLT","Charlotte, NC","North Carolina",36,1635,1628,-7,0,0,-1,"1600-1659",24,1652,1904,10,1920,1914,-6,0,0,-1,"1900-1959",0,"",105,106,72,1,488,2,NA,NA,NA,NA,NA
"80621",2019,1,1,15,2,"1/15/2019 12:00:00 AM","OH","N597NN",5667,"FAY","Fayetteville, NC","North Carolina",36,"CLT","Charlotte, NC","North Carolina",36,1807,1805,-2,0,0,-1,"1800-1859",33,1838,1912,5,1915,1917,2,2,0,0,"1900-1959",0,"",68,72,34,1,118,1,NA,NA,NA,NA,NA
"375864",2019,1,1,6,7,"1/6/2019 12:00:00 AM","AA","N994NN",2731,"CLT","Charlotte, NC","North Carolina",36,"JFK","New York, NY","New York",22,1302,1300,-2,0,0,-1,"1300-1359",18,1318,1444,8,1454,1452,-2,0,0,-1,"1400-1459",0,"",112,112,86,1,541,3,NA,NA,NA,NA,NA
"204005",2019,1,1,25,5,"1/25/2019 12:00:00 AM","UA","N66808",2009,"MCO","Orlando, FL","Florida",33,"IAD","Washington, DC","Virginia",38,1855,1850,-5,0,0,-1,"1800-1859",11,1901,2032,4,2101,2036,-25,0,0,-2,"2100-2159",0,"",126,106,91,1,758,4,NA,NA,NA,NA,NA
"144774",2019,1,1,7,1,"1/7/2019 12:00:00 AM","OO","N430SW",4010,"SLC","Salt Lake City, UT","Utah",87,"FAT","Fresno, CA","California",91,1110,1132,22,22,1,1,"1100-1159",30,1202,1229,6,1210,1235,25,25,1,1,"1200-1259",0,"",120,123,87,1,501,3,22,0,3,0,0
"356834",2019,1,1,6,7,"1/6/2019 12:00:00 AM","EV","N14573",4432,"IAH","Houston, TX","Texas",74,"BTR","Baton Rouge, LA","Louisiana",72,1020,1055,35,35,1,2,"1000-1059",11,1106,1145,4,1135,1149,14,14,0,0,"1100-1159",0,"",75,54,39,1,253,2,NA,NA,NA,NA,NA
"479964",2019,1,1,25,5,"1/25/2019 12:00:00 AM","MQ","N264NN",3578,"ORD","Chicago, IL","Illinois",41,"XNA","Fayetteville, AR","Arkansas",71,1820,1924,64,64,1,4,"1800-1859",60,2024,2141,12,2017,2153,96,96,1,6,"2000-2059",0,"",117,149,77,1,522,3,61,0,32,0,3
"36665",2019,1,1,6,7,"1/6/2019 12:00:00 AM","UA","N73256",381,"ORD","Chicago, IL","Illinois",41,"PHL","Philadelphia, PA","Pennsylvania",23,802,757,-5,0,0,-1,"0800-0859",22,819,1034,5,1055,1039,-16,0,0,-2,"1000-1059",0,"",113,102,75,1,678,3,NA,NA,NA,NA,NA
"485893",2019,1,1,2,3,"1/2/2019 12:00:00 AM","WN","N8511K",2310,"PHX","Phoenix, AZ","Arizona",81,"DEN","Denver, CO","Colorado",82,900,859,-1,0,0,-1,"0900-0959",11,910,1038,6,1045,1044,-1,0,0,-1,"1000-1059",0,"",105,105,88,1,602,3,NA,NA,NA,NA,NA
"181151",2019,1,1,19,6,"1/19/2019 12:00:00 AM","HA","N488HA",179,"OGG","Kahului, HI","Hawaii",2,"LIH","Lihue, HI","Hawaii",2,1015,1005,-10,0,0,-1,"1000-1059",6,1011,1044,5,1102,1049,-13,0,0,-1,"1100-1159",0,"",47,44,33,1,201,1,NA,NA,NA,NA,NA
"286084",2019,1,1,27,7,"1/27/2019 12:00:00 AM","UA","N892UA",425,"EWR","Newark, NJ","New Jersey",21,"CHS","Charleston, SC","South Carolina",37,1829,1826,-3,0,0,-1,"1800-1859",25,1851,2033,4,2038,2037,-1,0,0,-1,"2000-2059",0,"",129,131,102,1,628,3,NA,NA,NA,NA,NA
"554841",2019,1,1,4,5,"1/4/2019 12:00:00 AM","AA","N990NN",2199,"TUS","Tucson, AZ","Arizona",81,"DFW","Dallas/Fort Worth, TX","Texas",74,1407,1359,-8,0,0,-1,"1400-1459",14,1413,1651,16,1718,1707,-11,0,0,-1,"1700-1759",0,"",131,128,98,1,813,4,NA,NA,NA,NA,NA
"511582",2019,1,1,15,2,"1/15/2019 12:00:00 AM","OO","N951SW",5090,"DEN","Denver, CO","Colorado",82,"CNY","Moab, UT","Utah",87,1615,NA,NA,NA,NA,NA,"1600-1659",NA,NA,NA,NA,1734,NA,NA,NA,NA,NA,"1700-1759",1,"B",79,NA,NA,1,283,2,NA,NA,NA,NA,NA
"418365",2019,1,1,19,6,"1/19/2019 12:00:00 AM","DL","N977AT",2408,"CLT","Charlotte, NC","North Carolina",36,"ATL","Atlanta, GA","Georgia",34,715,710,-5,0,0,-1,"0700-0759",18,728,814,9,842,823,-19,0,0,-2,"0800-0859",0,"",87,73,46,1,226,1,NA,NA,NA,NA,NA
"403833",2019,1,1,12,6,"1/12/2019 12:00:00 AM","OO","N207SY",5184,"CLT","Charlotte, NC","North Carolina",36,"DEN","Denver, CO","Colorado",82,830,820,-10,0,0,-1,"0800-0859",14,834,954,9,1033,1003,-30,0,0,-2,"1000-1059",0,"",243,223,200,1,1337,6,NA,NA,NA,NA,NA
