"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"558655",2019,4,10,6,7,"10/6/2019 12:00:00 AM","AS","N565AS",16,"SEA","Seattle, WA","Washington",93,"MCO","Orlando, FL","Florida",33,810,812,2,2,0,0,"0800-0859",15,827,1623,8,1650,1631,-19,0,0,-2,"1600-1659",0,"",340,319,296,1,2554,11,NA,NA,NA,NA,NA
"475648",2019,4,10,21,1,"10/21/2019 12:00:00 AM","OO","N826SK",3500,"IAD","Washington, DC","Virginia",38,"DTW","Detroit, MI","Michigan",43,1315,1323,8,8,0,0,"1300-1359",22,1345,1448,5,1457,1453,-4,0,0,-1,"1400-1459",0,"",102,90,63,1,383,2,NA,NA,NA,NA,NA
"473701",2019,4,10,17,4,"10/17/2019 12:00:00 AM","OO","N745SK",2972,"OKC","Oklahoma City, OK","Oklahoma",73,"ORD","Chicago, IL","Illinois",41,1323,1358,35,35,1,2,"1300-1359",18,1416,1554,12,1529,1606,37,37,1,2,"1500-1559",0,"",126,128,98,1,693,3,0,0,2,0,35
"432516",2019,4,10,3,4,"10/3/2019 12:00:00 AM","UA","N855UA",38,"DEN","Denver, CO","Colorado",82,"DSM","Des Moines, IA","Iowa",61,2040,2036,-4,0,0,-1,"2000-2059",11,2047,2257,3,2321,2300,-21,0,0,-2,"2300-2359",0,"",101,84,70,1,589,3,NA,NA,NA,NA,NA
"452348",2019,4,10,12,6,"10/12/2019 12:00:00 AM","DL","N913DU",422,"SLC","Salt Lake City, UT","Utah",87,"PHL","Philadelphia, PA","Pennsylvania",23,930,925,-5,0,0,-1,"0900-0959",15,940,1517,5,1542,1522,-20,0,0,-2,"1500-1559",0,"",252,237,217,1,1927,8,NA,NA,NA,NA,NA
"221989",2019,4,10,1,2,"10/1/2019 12:00:00 AM","WN","N7877H",136,"DCA","Washington, DC","Virginia",38,"MKE","Milwaukee, WI","Wisconsin",45,1845,1838,-7,0,0,-1,"1800-1859",15,1853,1930,4,1945,1934,-11,0,0,-1,"1900-1959",0,"",120,116,97,1,634,3,NA,NA,NA,NA,NA
"124686",2019,4,10,3,4,"10/3/2019 12:00:00 AM","AA","N807AW",1499,"SLC","Salt Lake City, UT","Utah",87,"PHX","Phoenix, AZ","Arizona",81,1340,1346,6,6,0,0,"1300-1359",12,1358,1418,4,1420,1422,2,2,0,0,"1400-1459",0,"",100,96,80,1,507,3,NA,NA,NA,NA,NA
"125449",2019,4,10,22,2,"10/22/2019 12:00:00 AM","AA","N166NN",1535,"DFW","Dallas/Fort Worth, TX","Texas",74,"SFO","San Francisco, CA","California",91,2039,2035,-4,0,0,-1,"2000-2059",22,2057,2210,7,2226,2217,-9,0,0,-1,"2200-2259",0,"",227,222,193,1,1464,6,NA,NA,NA,NA,NA
"430736",2019,4,10,3,4,"10/3/2019 12:00:00 AM","UA","N498UA",2377,"IAH","Houston, TX","Texas",74,"DEN","Denver, CO","Colorado",82,840,834,-6,0,0,-1,"0800-0859",15,849,1000,6,1000,1006,6,6,0,0,"1000-1059",0,"",140,152,131,1,862,4,NA,NA,NA,NA,NA
"376738",2019,4,10,11,5,"10/11/2019 12:00:00 AM","OO","N702BR",3603,"BIS","Bismarck/Mandan, ND","North Dakota",66,"MSP","Minneapolis, MN","Minnesota",63,642,1829,707,707,1,12,"0600-0659",8,1837,1943,5,815,1948,693,693,1,12,"0800-0859",0,"",93,79,66,1,386,2,693,0,0,0,0
