"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"199796",2021,4,10,30,6,"10/30/2021 12:00:00 AM","UA","N12225",631,"EWR","Newark, NJ","New Jersey",21,"SAN","San Diego, CA","California",91,1645,1655,10,10,0,0,"1600-1659",15,1710,1918,3,1937,1921,-16,0,0,-2,"1900-1959",0,"",352,326,308,1,2425,10,NA,NA,NA,NA,NA
"175354",2021,4,10,20,3,"10/20/2021 12:00:00 AM","OO","N501SY",2996,"RNO","Reno, NV","Nevada",85,"LAX","Los Angeles, CA","California",91,1056,1046,-10,0,0,-1,"1000-1059",21,1107,1215,13,1234,1228,-6,0,0,-1,"1200-1259",0,"",98,102,68,1,391,2,NA,NA,NA,NA,NA
"474369",2021,4,10,11,1,"10/11/2021 12:00:00 AM","DL","N135DQ",2277,"SNA","Santa Ana, CA","California",91,"SEA","Seattle, WA","Washington",93,1915,1923,8,8,0,0,"1900-1959",41,2004,2249,9,2206,2258,52,52,1,3,"2200-2259",0,"",171,215,165,1,978,4,8,0,44,0,0
"124460",2021,4,10,3,7,"10/3/2021 12:00:00 AM","DL","N3755D",1809,"ATL","Atlanta, GA","Georgia",34,"STX","Christiansted, VI","U.S. Virgin Islands",4,950,1209,139,139,1,9,"0900-0959",9,1218,1537,2,1336,1539,123,123,1,8,"1300-1359",0,"",226,210,199,1,1638,7,123,0,0,0,0
"57962",2021,4,10,25,1,"10/25/2021 12:00:00 AM","WN","N551WN",502,"LAS","Las Vegas, NV","Nevada",85,"SMF","Sacramento, CA","California",91,2150,3,133,133,1,8,"2100-2159",12,15,126,3,2320,129,129,129,1,8,"2300-2359",0,"",90,86,71,1,397,2,2,0,0,0,127
"318723",2021,4,10,22,5,"10/22/2021 12:00:00 AM","MQ","N239NN",3908,"MFE","Mission/McAllen/Edinburg, TX","Texas",74,"DFW","Dallas/Fort Worth, TX","Texas",74,1746,1745,-1,0,0,-1,"1700-1759",11,1756,1911,5,1927,1916,-11,0,0,-1,"1900-1959",0,"",101,91,75,1,469,2,NA,NA,NA,NA,NA
"460574",2021,4,10,28,4,"10/28/2021 12:00:00 AM","DL","N3756",1506,"SLC","Salt Lake City, UT","Utah",87,"MCI","Kansas City, MO","Missouri",64,950,950,0,0,0,0,"0900-0959",21,1011,1306,7,1311,1313,2,2,0,0,"1300-1359",0,"",141,143,115,1,920,4,NA,NA,NA,NA,NA
"116439",2021,4,10,15,5,"10/15/2021 12:00:00 AM","AS","N847VA",1373,"LAX","Los Angeles, CA","California",91,"PDX","Portland, OR","Oregon",92,1415,1411,-4,0,0,-1,"1400-1459",19,1430,1627,3,1640,1630,-10,0,0,-1,"1600-1659",0,"",145,139,117,1,834,4,NA,NA,NA,NA,NA
"553438",2021,4,10,31,7,"10/31/2021 12:00:00 AM","WN","N446WN",3847,"MDW","Chicago, IL","Illinois",41,"RDU","Raleigh/Durham, NC","North Carolina",36,1245,1305,20,20,1,1,"1200-1259",9,1314,1535,2,1535,1537,2,2,0,0,"1500-1559",0,"",110,92,81,1,632,3,NA,NA,NA,NA,NA
"157600",2021,4,10,9,6,"10/9/2021 12:00:00 AM","G4","233NV",3583,"PIE","St. Petersburg, FL","Florida",33,"TYS","Knoxville, TN","Tennessee",54,1945,1950,5,5,0,0,"1900-1959",12,2002,2129,6,2118,2135,17,17,1,1,"2100-2159",0,"",93,105,87,1,550,3,0,0,12,0,5
"226861",2021,4,10,20,3,"10/20/2021 12:00:00 AM","WN","N248WN",1226,"DEN","Denver, CO","Colorado",82,"PDX","Portland, OR","Oregon",92,1500,1600,60,60,1,4,"1500-1559",12,1612,1734,3,1645,1737,52,52,1,3,"1600-1659",0,"",165,157,142,1,991,4,0,0,0,0,52
"285510",2021,4,10,25,1,"10/25/2021 12:00:00 AM","B6","N946JL",1800,"LAX","Los Angeles, CA","California",91,"FLL","Fort Lauderdale, FL","Florida",33,730,728,-2,0,0,-1,"0700-0759",18,746,1515,6,1535,1521,-14,0,0,-1,"1500-1559",0,"",305,293,269,1,2343,10,NA,NA,NA,NA,NA
"445948",2021,4,10,27,3,"10/27/2021 12:00:00 AM","AA","N338PK",2371,"MCO","Orlando, FL","Florida",33,"MIA","Miami, FL","Florida",33,723,717,-6,0,0,-1,"0700-0759",15,732,808,6,827,814,-13,0,0,-1,"0800-0859",0,"",64,57,36,1,192,1,NA,NA,NA,NA,NA
"207593",2021,4,10,12,2,"10/12/2021 12:00:00 AM","UA","N27734",533,"DCA","Washington, DC","Virginia",38,"IAH","Houston, TX","Texas",74,1641,1649,8,8,0,0,"1600-1659",10,1659,1851,13,1900,1904,4,4,0,0,"1900-1959",0,"",199,195,172,1,1208,5,NA,NA,NA,NA,NA
"421717",2021,4,10,6,3,"10/6/2021 12:00:00 AM","AA","N908NN",2638,"DFW","Dallas/Fort Worth, TX","Texas",74,"ORF","Norfolk, VA","Virginia",38,1017,1014,-3,0,0,-1,"1000-1059",16,1030,1354,3,1413,1357,-16,0,0,-2,"1400-1459",0,"",176,163,144,1,1212,5,NA,NA,NA,NA,NA
"184892",2021,4,10,20,3,"10/20/2021 12:00:00 AM","OO","N923EV",4276,"BJI","Bemidji, MN","Minnesota",63,"MSP","Minneapolis, MN","Minnesota",63,815,807,-8,0,0,-1,"0800-0859",11,818,853,14,918,907,-11,0,0,-1,"0900-0959",0,"",63,60,35,1,199,1,NA,NA,NA,NA,NA
"266639",2021,4,10,10,7,"10/10/2021 12:00:00 AM","AA","N184US",1881,"MCO","Orlando, FL","Florida",33,"PHL","Philadelphia, PA","Pennsylvania",23,715,714,-1,0,0,-1,"0700-0759",13,727,950,4,940,954,14,14,0,0,"0900-0959",0,"",145,160,143,1,861,4,NA,NA,NA,NA,NA
"284988",2021,4,10,24,7,"10/24/2021 12:00:00 AM","B6","N586JB",2797,"LAX","Los Angeles, CA","California",91,"JAX","Jacksonville, FL","Florida",33,2157,2212,15,15,1,1,"2100-2159",13,2225,522,5,530,527,-3,0,0,-1,"0001-0559",0,"",273,255,237,1,2153,9,NA,NA,NA,NA,NA
"72521",2021,4,10,5,2,"10/5/2021 12:00:00 AM","YX","N239JQ",5824,"JFK","New York, NY","New York",22,"PIT","Pittsburgh, PA","Pennsylvania",23,2005,1959,-6,0,0,-1,"2000-2059",16,2015,2118,6,2156,2124,-32,0,0,-2,"2100-2159",0,"",111,85,63,1,340,2,NA,NA,NA,NA,NA
"9906",2021,4,10,24,7,"10/24/2021 12:00:00 AM","WN","N473WN",4775,"BUF","Buffalo, NY","New York",22,"DEN","Denver, CO","Colorado",82,1635,1634,-1,0,0,-1,"1600-1659",7,1641,1753,6,1815,1759,-16,0,0,-2,"1800-1859",0,"",220,205,192,1,1359,6,NA,NA,NA,NA,NA
"332726",2021,4,10,17,7,"10/17/2021 12:00:00 AM","OH","N599NN",5293,"CLT","Charlotte, NC","North Carolina",36,"GSP","Greer, SC","South Carolina",37,1440,1436,-4,0,0,-1,"1400-1459",19,1455,1519,4,1531,1523,-8,0,0,-1,"1500-1559",0,"",51,47,24,1,75,1,NA,NA,NA,NA,NA
"363917",2021,4,10,15,5,"10/15/2021 12:00:00 AM","QX","N623QX",2203,"PAE","Everett, WA","Washington",93,"BOI","Boise, ID","Idaho",83,815,814,-1,0,0,-1,"0800-0859",14,828,1030,4,1030,1034,4,4,0,0,"1000-1059",0,"",75,80,62,1,419,2,NA,NA,NA,NA,NA
"19633",2021,4,10,11,1,"10/11/2021 12:00:00 AM","YV","N89313",6348,"LBB","Lubbock, TX","Texas",74,"IAH","Houston, TX","Texas",74,1700,1653,-7,0,0,-1,"1700-1759",12,1705,1819,24,1840,1843,3,3,0,0,"1800-1859",0,"",100,110,74,1,458,2,NA,NA,NA,NA,NA
"367921",2021,4,10,31,7,"10/31/2021 12:00:00 AM","UA","N873UA",2490,"MSP","Minneapolis, MN","Minnesota",63,"DEN","Denver, CO","Colorado",82,900,857,-3,0,0,-1,"0900-0959",26,923,1010,8,1015,1018,3,3,0,0,"1000-1059",0,"",135,141,107,1,680,3,NA,NA,NA,NA,NA
