"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"212707",2021,1,3,14,7,"3/14/2021 12:00:00 AM","NK","N674NK",675,"MCO","Orlando, FL","Florida",33,"FLL","Fort Lauderdale, FL","Florida",33,700,700,0,0,0,0,"0700-0759",15,715,752,12,805,804,-1,0,0,-1,"0800-0859",0,"",65,64,37,1,177,1,NA,NA,NA,NA,NA
"284690",2021,1,3,19,5,"3/19/2021 12:00:00 AM","G4","334NV",63,"LAS","Las Vegas, NV","Nevada",85,"GRR","Grand Rapids, MI","Michigan",43,1355,1404,9,9,0,0,"1300-1359",38,1442,2055,5,2026,2100,34,34,1,2,"2000-2059",0,"",211,236,193,1,1642,7,0,0,25,0,9
"107300",2021,1,3,26,5,"3/26/2021 12:00:00 AM","WN","N261WN",1124,"DAL","Dallas, TX","Texas",74,"ORD","Chicago, IL","Illinois",41,1035,1031,-4,0,0,-1,"1000-1059",11,1042,1229,6,1300,1235,-25,0,0,-2,"1300-1359",0,"",145,124,107,1,798,4,NA,NA,NA,NA,NA
"200584",2021,1,3,19,5,"3/19/2021 12:00:00 AM","YX","N236JQ",5803,"LGA","New York, NY","New York",22,"BOS","Boston, MA","Massachusetts",13,1559,1644,45,45,1,3,"1500-1559",11,1655,1733,9,1719,1742,23,23,1,1,"1700-1759",0,"",80,58,38,1,184,1,23,0,0,0,0
"172133",2021,1,3,10,3,"3/10/2021 12:00:00 AM","YV","N83329",6199,"IAH","Houston, TX","Texas",74,"SRQ","Sarasota/Bradenton, FL","Florida",33,1156,1156,0,0,0,0,"1100-1159",15,1211,1500,2,1505,1502,-3,0,0,-1,"1500-1559",0,"",129,126,109,1,796,4,NA,NA,NA,NA,NA
"419294",2021,1,3,29,1,"3/29/2021 12:00:00 AM","B6","N630JB",1064,"SJU","San Juan, PR","Puerto Rico",3,"RDU","Raleigh/Durham, NC","North Carolina",36,1845,1840,-5,0,0,-1,"1800-1859",15,1855,2159,5,2219,2204,-15,0,0,-1,"2200-2259",0,"",214,204,184,1,1433,6,NA,NA,NA,NA,NA
"91901",2021,1,3,2,2,"3/2/2021 12:00:00 AM","WN","N563WN",3131,"MDW","Chicago, IL","Illinois",41,"GRR","Grand Rapids, MI","Michigan",43,1500,1608,68,68,1,4,"1500-1559",9,1617,1744,3,1655,1747,52,52,1,3,"1600-1659",0,"",55,39,27,1,137,1,52,0,0,0,0
"296085",2021,1,3,10,3,"3/10/2021 12:00:00 AM","MQ","N688AE",3931,"ACT","Waco, TX","Texas",74,"DFW","Dallas/Fort Worth, TX","Texas",74,1625,1654,29,29,1,1,"1600-1659",33,1727,1759,10,1724,1809,45,45,1,3,"1700-1759",0,"",59,75,32,1,89,1,1,0,16,0,28
"278264",2021,1,3,22,1,"3/22/2021 12:00:00 AM","G4","279NV",2006,"BOS","Boston, MA","Massachusetts",13,"SRQ","Sarasota/Bradenton, FL","Florida",33,1020,1008,-12,0,0,-1,"1000-1059",18,1026,1316,4,1335,1320,-15,0,0,-1,"1300-1359",0,"",195,192,170,1,1220,5,NA,NA,NA,NA,NA
"263050",2021,1,3,1,1,"3/1/2021 12:00:00 AM","F9","N220FR",1127,"MKE","Milwaukee, WI","Wisconsin",45,"MCO","Orlando, FL","Florida",33,1341,1336,-5,0,0,-1,"1300-1359",12,1348,1703,27,1733,1730,-3,0,0,-1,"1700-1759",0,"",172,174,135,1,1066,5,NA,NA,NA,NA,NA
