"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"304956",2022,2,4,29,5,"4/29/2022 12:00:00 AM","WN","N7732A",359,"DTW","Detroit, MI","Michigan",43,"BNA","Nashville, TN","Tennessee",54,725,723,-2,0,0,-1,"0700-0759",12,735,739,6,805,745,-20,0,0,-2,"0800-0859",0,"",100,82,64,1,456,2,NA,NA,NA,NA,NA
"43579",2022,2,4,22,5,"4/22/2022 12:00:00 AM","OO","N287SY",3537,"SFO","San Francisco, CA","California",91,"LAX","Los Angeles, CA","California",91,1710,1748,38,38,1,2,"1700-1759",11,1759,1851,9,1840,1900,20,20,1,1,"1800-1859",0,"",90,72,52,1,337,2,0,20,0,0,0
"482781",2022,2,4,8,5,"4/8/2022 12:00:00 AM","AA","N950NN",1227,"DFW","Dallas/Fort Worth, TX","Texas",74,"SNA","Santa Ana, CA","California",91,1900,1856,-4,0,0,-1,"1900-1959",17,1913,1957,6,2019,2003,-16,0,0,-2,"2000-2059",0,"",199,187,164,1,1205,5,NA,NA,NA,NA,NA
"385109",2022,2,4,14,4,"4/14/2022 12:00:00 AM","YV","N928LR",5771,"ICT","Wichita, KS","Kansas",62,"DFW","Dallas/Fort Worth, TX","Texas",74,1823,1826,3,3,0,0,"1800-1859",16,1842,1943,75,1946,2058,72,72,1,4,"1900-1959",0,"",83,152,61,1,328,2,0,0,69,0,3
"279650",2022,2,4,2,6,"4/2/2022 12:00:00 AM","WN","N7846A",3787,"CMH","Columbus, OH","Ohio",44,"TPA","Tampa, FL","Florida",33,1520,NA,NA,NA,NA,NA,"1500-1559",NA,NA,NA,NA,1735,NA,NA,NA,NA,NA,"1700-1759",1,"C",135,NA,NA,1,829,4,NA,NA,NA,NA,NA
"303484",2022,2,4,28,4,"4/28/2022 12:00:00 AM","WN","N947WN",2571,"SMF","Sacramento, CA","California",91,"LAX","Los Angeles, CA","California",91,1810,1807,-3,0,0,-1,"1800-1859",10,1817,1918,4,1935,1922,-13,0,0,-1,"1900-1959",0,"",85,75,61,1,373,2,NA,NA,NA,NA,NA
"172114",2022,2,4,18,1,"4/18/2022 12:00:00 AM","DL","N802DN",1109,"SEA","Seattle, WA","Washington",93,"MSP","Minneapolis, MN","Minnesota",63,1152,1207,15,15,1,1,"1100-1159",13,1220,1701,4,1713,1705,-8,0,0,-1,"1700-1759",0,"",201,178,161,1,1399,6,NA,NA,NA,NA,NA
"125345",2022,2,4,16,6,"4/16/2022 12:00:00 AM","UA","N497UA",1818,"FSD","Sioux Falls, SD","South Dakota",67,"DEN","Denver, CO","Colorado",82,600,553,-7,0,0,-1,"0600-0659",25,618,630,6,639,636,-3,0,0,-1,"0600-0659",0,"",99,103,72,1,483,2,NA,NA,NA,NA,NA
"451716",2022,2,4,9,6,"4/9/2022 12:00:00 AM","AA","N5007E",1728,"DFW","Dallas/Fort Worth, TX","Texas",74,"MEM","Memphis, TN","Tennessee",54,1720,NA,NA,NA,NA,NA,"1700-1759",NA,NA,NA,NA,1849,NA,NA,NA,NA,NA,"1800-1859",1,"A",89,NA,NA,1,431,2,NA,NA,NA,NA,NA
"344739",2022,2,4,15,5,"4/15/2022 12:00:00 AM","WN","N7869A",6633,"HOU","Houston, TX","Texas",74,"MCO","Orlando, FL","Florida",33,700,657,-3,0,0,-1,"0700-0759",14,711,947,7,1015,954,-21,0,0,-2,"1000-1059",0,"",135,117,96,1,849,4,NA,NA,NA,NA,NA
"178534",2022,2,4,10,7,"4/10/2022 12:00:00 AM","DL","N993AT",2315,"ATL","Atlanta, GA","Georgia",34,"ECP","Panama City, FL","Florida",33,825,822,-3,0,0,-1,"0800-0859",15,837,820,6,834,826,-8,0,0,-1,"0800-0859",0,"",69,64,43,1,240,1,NA,NA,NA,NA,NA
"215132",2022,2,4,16,6,"4/16/2022 12:00:00 AM","G4","280NV",1174,"AZA","Phoenix, AZ","Arizona",81,"BLV","Belleville, IL","Illinois",41,1626,1633,7,7,0,0,"1600-1659",16,1649,2107,5,2112,2112,0,0,0,0,"2100-2159",0,"",166,159,138,1,1272,6,NA,NA,NA,NA,NA
"180790",2022,2,4,19,2,"4/19/2022 12:00:00 AM","DL","N828DN",2384,"BNA","Nashville, TN","Tennessee",54,"ATL","Atlanta, GA","Georgia",34,1640,1634,-6,0,0,-1,"1600-1659",16,1650,1830,4,1843,1834,-9,0,0,-1,"1800-1859",0,"",63,60,40,1,214,1,NA,NA,NA,NA,NA
"207989",2022,2,4,28,4,"4/28/2022 12:00:00 AM","F9","N364FR",417,"ATL","Atlanta, GA","Georgia",34,"DEN","Denver, CO","Colorado",82,2130,2128,-2,0,0,-1,"2100-2159",20,2148,2230,10,2258,2240,-18,0,0,-2,"2200-2259",0,"",208,192,162,1,1199,5,NA,NA,NA,NA,NA
"233092",2022,2,4,19,2,"4/19/2022 12:00:00 AM","MQ","N218NN",3743,"ABQ","Albuquerque, NM","New Mexico",86,"AUS","Austin, TX","Texas",74,1300,1251,-9,0,0,-1,"1300-1359",13,1304,1520,14,1553,1534,-19,0,0,-2,"1500-1559",0,"",113,103,76,1,619,3,NA,NA,NA,NA,NA
"384592",2022,2,4,30,6,"4/30/2022 12:00:00 AM","YV","N946LR",5751,"LGB","Long Beach, CA","California",91,"PHX","Phoenix, AZ","Arizona",81,1152,1149,-3,0,0,-1,"1100-1159",16,1205,1256,4,1311,1300,-11,0,0,-1,"1300-1359",0,"",79,71,51,1,355,2,NA,NA,NA,NA,NA
"155190",2022,2,4,28,4,"4/28/2022 12:00:00 AM","DL","N395DZ",1646,"MCO","Orlando, FL","Florida",33,"JFK","New York, NY","New York",22,1444,1442,-2,0,0,-1,"1400-1459",11,1453,1700,6,1727,1706,-21,0,0,-2,"1700-1759",0,"",163,144,127,1,944,4,NA,NA,NA,NA,NA
"412255",2022,2,4,24,7,"4/24/2022 12:00:00 AM","YX","N639RW",3677,"MCI","Kansas City, MO","Missouri",64,"ORD","Chicago, IL","Illinois",41,1520,1516,-4,0,0,-1,"1500-1559",13,1529,1631,11,1705,1642,-23,0,0,-2,"1700-1759",0,"",105,86,62,1,403,2,NA,NA,NA,NA,NA
"316839",2022,2,4,12,2,"4/12/2022 12:00:00 AM","WN","N8675A",1833,"STL","St. Louis, MO","Missouri",64,"BNA","Nashville, TN","Tennessee",54,2015,2023,8,8,0,0,"2000-2059",9,2032,2116,9,2125,2125,0,0,0,0,"2100-2159",0,"",70,62,44,1,272,2,NA,NA,NA,NA,NA
"294225",2022,2,4,19,2,"4/19/2022 12:00:00 AM","WN","N8323C",2625,"OAK","Oakland, CA","California",91,"LAX","Los Angeles, CA","California",91,1125,1125,0,0,0,0,"1100-1159",12,1137,1230,4,1245,1234,-11,0,0,-1,"1200-1259",0,"",80,69,53,1,337,2,NA,NA,NA,NA,NA
"89920",2022,2,4,13,3,"4/13/2022 12:00:00 AM","UA","N411UA",1259,"SFO","San Francisco, CA","California",91,"MSY","New Orleans, LA","Louisiana",72,2305,2313,8,8,0,0,"2300-2359",28,2341,456,4,522,500,-22,0,0,-2,"0001-0559",0,"",257,227,195,1,1911,8,NA,NA,NA,NA,NA
"220493",2022,2,4,4,1,"4/4/2022 12:00:00 AM","HA","N218HA",39,"PDX","Portland, OR","Oregon",92,"OGG","Kahului, HI","Hawaii",2,1010,1000,-10,0,0,-1,"1000-1059",15,1015,1258,4,1305,1302,-3,0,0,-1,"1300-1359",0,"",355,362,343,1,2562,11,NA,NA,NA,NA,NA
"84371",2022,2,4,29,5,"4/29/2022 12:00:00 AM","UA","N497UA",352,"ATL","Atlanta, GA","Georgia",34,"EWR","Newark, NJ","New Jersey",21,2002,2015,13,13,0,0,"2000-2059",10,2025,2202,16,2223,2218,-5,0,0,-1,"2200-2259",0,"",141,123,97,1,746,3,NA,NA,NA,NA,NA
"155489",2022,2,4,27,3,"4/27/2022 12:00:00 AM","DL","N695DL",1654,"MIA","Miami, FL","Florida",33,"ATL","Atlanta, GA","Georgia",34,1202,1204,2,2,0,0,"1200-1259",19,1223,1351,7,1401,1358,-3,0,0,-1,"1400-1459",0,"",119,114,88,1,594,3,NA,NA,NA,NA,NA
