"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"77637",2020,2,5,21,4,"5/21/2020 12:00:00 AM","OO","N162SY",5299,"PDX","Portland, OR","Oregon",92,"SFO","San Francisco, CA","California",91,1500,1458,-2,0,0,-1,"1500-1559",9,1507,1626,3,1652,1629,-23,0,0,-2,"1600-1659",0,"",112,91,79,1,550,3,NA,NA,NA,NA,NA
"168848",2020,2,5,13,3,"5/13/2020 12:00:00 AM","DL","N384DN",876,"ATL","Atlanta, GA","Georgia",34,"LAX","Los Angeles, CA","California",91,825,821,-4,0,0,-1,"0800-0859",11,832,1002,6,1009,1008,-1,0,0,-1,"1000-1059",0,"",284,287,270,1,1947,8,NA,NA,NA,NA,NA
"158126",2020,2,5,1,5,"5/1/2020 12:00:00 AM","AA","N559UW",1807,"CLT","Charlotte, NC","North Carolina",36,"PVD","Providence, RI","Rhode Island",15,2238,2234,-4,0,0,-1,"2200-2259",17,2251,25,4,36,29,-7,0,0,-1,"0001-0559",0,"",118,115,94,1,683,3,NA,NA,NA,NA,NA
"117645",2020,2,5,29,5,"5/29/2020 12:00:00 AM","OO","N705SK",2954,"OMA","Omaha, NE","Nebraska",65,"DFW","Dallas/Fort Worth, TX","Texas",74,730,721,-9,0,0,-1,"0700-0759",23,744,916,5,925,921,-4,0,0,-1,"0900-0959",0,"",115,120,92,1,583,3,NA,NA,NA,NA,NA
"407",2020,2,5,9,6,"5/9/2020 12:00:00 AM","WN","N900WN",1625,"ONT","Ontario, CA","California",91,"OAK","Oakland, CA","California",91,705,703,-2,0,0,-1,"0700-0759",4,707,801,3,825,804,-21,0,0,-2,"0800-0859",0,"",80,61,54,1,362,2,NA,NA,NA,NA,NA
"89547",2020,2,5,21,4,"5/21/2020 12:00:00 AM","YX","N447YX",4703,"TPA","Tampa, FL","Florida",33,"DCA","Washington, DC","Virginia",38,1610,1558,-12,0,0,-1,"1600-1659",12,1610,1802,7,1824,1809,-15,0,0,-1,"1800-1859",0,"",134,131,112,1,814,4,NA,NA,NA,NA,NA
"3649",2020,2,5,28,4,"5/28/2020 12:00:00 AM","WN","N217JC",1674,"DAL","Dallas, TX","Texas",74,"TUL","Tulsa, OK","Oklahoma",73,1930,1929,-1,0,0,-1,"1900-1959",10,1939,2019,4,2035,2023,-12,0,0,-1,"2000-2059",0,"",65,54,40,1,238,1,NA,NA,NA,NA,NA
"154305",2020,2,5,20,3,"5/20/2020 12:00:00 AM","WN","N8675A",392,"TPA","Tampa, FL","Florida",33,"LAS","Las Vegas, NV","Nevada",85,1330,1324,-6,0,0,-1,"1300-1359",9,1333,1503,4,1515,1507,-8,0,0,-1,"1500-1559",0,"",285,283,270,1,1984,8,NA,NA,NA,NA,NA
"27443",2020,2,5,26,2,"5/26/2020 12:00:00 AM","YV","N89308",6010,"AUS","Austin, TX","Texas",74,"IAH","Houston, TX","Texas",74,1700,1656,-4,0,0,-1,"1700-1759",30,1726,1807,8,1805,1815,10,10,0,0,"1800-1859",0,"",65,79,41,1,140,1,NA,NA,NA,NA,NA
"163705",2020,2,5,19,2,"5/19/2020 12:00:00 AM","AA","N709UW",2449,"DFW","Dallas/Fort Worth, TX","Texas",74,"JAX","Jacksonville, FL","Florida",33,1700,1654,-6,0,0,-1,"1700-1759",13,1707,1959,4,2021,2003,-18,0,0,-2,"2000-2059",0,"",141,129,112,1,918,4,NA,NA,NA,NA,NA
"48644",2020,2,5,6,3,"5/6/2020 12:00:00 AM","WN","N952WN",935,"MDW","Chicago, IL","Illinois",41,"RDU","Raleigh/Durham, NC","North Carolina",36,1400,1351,-9,0,0,-1,"1400-1459",7,1358,1619,3,1650,1622,-28,0,0,-2,"1600-1659",0,"",110,91,81,1,632,3,NA,NA,NA,NA,NA
"139821",2020,2,5,7,4,"5/7/2020 12:00:00 AM","AS","N611AS",65,"WRG","Wrangell, AK","Alaska",1,"PSG","Petersburg, AK","Alaska",1,1015,1001,-14,0,0,-1,"1000-1059",8,1009,1020,2,1035,1022,-13,0,0,-1,"1000-1059",0,"",20,21,11,1,31,1,NA,NA,NA,NA,NA
"155118",2020,2,5,21,4,"5/21/2020 12:00:00 AM","WN","N706SW",444,"MCI","Kansas City, MO","Missouri",64,"LAS","Las Vegas, NV","Nevada",85,1730,1725,-5,0,0,-1,"1700-1759",8,1733,1805,3,1830,1808,-22,0,0,-2,"1800-1859",0,"",180,163,152,1,1139,5,NA,NA,NA,NA,NA
"100893",2020,2,5,10,7,"5/10/2020 12:00:00 AM","MQ","N925AE",3333,"GSO","Greensboro/High Point, NC","North Carolina",36,"ORD","Chicago, IL","Illinois",41,1137,1127,-10,0,0,-1,"1100-1159",8,1135,1210,6,1253,1216,-37,0,0,-2,"1200-1259",0,"",136,109,95,1,589,3,NA,NA,NA,NA,NA
"178203",2020,2,5,30,6,"5/30/2020 12:00:00 AM","DL","N339NB",990,"DTW","Detroit, MI","Michigan",43,"PHX","Phoenix, AZ","Arizona",81,825,821,-4,0,0,-1,"0800-0859",16,837,920,6,937,926,-11,0,0,-1,"0900-0959",0,"",252,245,223,1,1671,7,NA,NA,NA,NA,NA
"84813",2020,2,5,24,7,"5/24/2020 12:00:00 AM","G4","",713,"LAS","Las Vegas, NV","Nevada",85,"BLI","Bellingham, WA","Washington",93,1638,NA,NA,NA,NA,NA,"1600-1659",NA,NA,NA,NA,1917,NA,NA,NA,NA,NA,"1900-1959",1,"D",159,NA,NA,1,954,4,NA,NA,NA,NA,NA
"136103",2020,2,5,15,5,"5/15/2020 12:00:00 AM","NK","N924NK",1109,"MCO","Orlando, FL","Florida",33,"IND","Indianapolis, IN","Indiana",42,915,905,-10,0,0,-1,"0900-0959",13,918,1112,5,1140,1117,-23,0,0,-2,"1100-1159",0,"",145,132,114,1,829,4,NA,NA,NA,NA,NA
"83185",2020,2,5,22,5,"5/22/2020 12:00:00 AM","G4","",831,"CVG","Cincinnati, OH","Kentucky",52,"PIE","St. Petersburg, FL","Florida",33,2001,NA,NA,NA,NA,NA,"2000-2059",NA,NA,NA,NA,2206,NA,NA,NA,NA,NA,"2200-2259",1,"D",125,NA,NA,1,776,4,NA,NA,NA,NA,NA
"76196",2020,2,5,17,7,"5/17/2020 12:00:00 AM","OO","N203SY",5389,"ORD","Chicago, IL","Illinois",41,"SRQ","Sarasota/Bradenton, FL","Florida",33,935,931,-4,0,0,-1,"0900-0959",20,951,1342,5,1317,1347,30,30,1,2,"1300-1359",0,"",162,196,171,1,1050,5,0,0,30,0,0
"117097",2020,2,5,25,1,"5/25/2020 12:00:00 AM","OO","N730EV",3013,"SBP","San Luis Obispo, CA","California",91,"DFW","Dallas/Fort Worth, TX","Texas",74,600,604,4,4,0,0,"0600-0659",10,614,1115,13,1118,1128,10,10,0,0,"1100-1159",0,"",198,204,181,1,1360,6,NA,NA,NA,NA,NA
"59530",2020,2,5,26,2,"5/26/2020 12:00:00 AM","OH","N577NN",5084,"CLT","Charlotte, NC","North Carolina",36,"TYS","Knoxville, TN","Tennessee",54,925,919,-6,0,0,-1,"0900-0959",20,939,1011,2,1037,1013,-24,0,0,-2,"1000-1059",0,"",72,54,32,1,177,1,NA,NA,NA,NA,NA
"53190",2020,2,5,15,5,"5/15/2020 12:00:00 AM","9E","N187GJ",4956,"ATL","Atlanta, GA","Georgia",34,"GPT","Gulfport/Biloxi, MS","Mississippi",53,1115,1110,-5,0,0,-1,"1100-1159",15,1125,1124,4,1125,1128,3,3,0,0,"1100-1159",0,"",70,78,59,1,352,2,NA,NA,NA,NA,NA
"35436",2020,2,5,3,7,"5/3/2020 12:00:00 AM","DL","N6712B",1486,"MCO","Orlando, FL","Florida",33,"MSP","Minneapolis, MN","Minnesota",63,1145,1142,-3,0,0,-1,"1100-1159",11,1153,1350,3,1358,1353,-5,0,0,-1,"1300-1359",0,"",193,191,177,1,1310,6,NA,NA,NA,NA,NA
"85933",2020,2,5,25,1,"5/25/2020 12:00:00 AM","G4","",2349,"SFB","Sanford, FL","Florida",33,"HGR","Hagerstown, MD","Maryland",35,620,NA,NA,NA,NA,NA,"0600-0659",NA,NA,NA,NA,826,NA,NA,NA,NA,NA,"0800-0859",1,"D",126,NA,NA,1,780,4,NA,NA,NA,NA,NA
"8554",2020,2,5,31,7,"5/31/2020 12:00:00 AM","WN","N223WN",130,"MEM","Memphis, TN","Tennessee",54,"DAL","Dallas, TX","Texas",74,1255,1255,0,0,0,0,"1200-1259",7,1302,1413,3,1420,1416,-4,0,0,-1,"1400-1459",0,"",85,81,71,1,423,2,NA,NA,NA,NA,NA
"38950",2020,2,5,10,7,"5/10/2020 12:00:00 AM","DL","N390DA",760,"MSP","Minneapolis, MN","Minnesota",63,"TPA","Tampa, FL","Florida",33,900,854,-6,0,0,-1,"0900-0959",11,905,1248,1,1304,1249,-15,0,0,-1,"1300-1359",0,"",184,175,163,1,1306,6,NA,NA,NA,NA,NA
"128243",2020,2,5,15,5,"5/15/2020 12:00:00 AM","UA","N494UA",698,"EWR","Newark, NJ","New Jersey",21,"DEN","Denver, CO","Colorado",82,1500,1509,9,9,0,0,"1500-1559",12,1521,1706,8,1729,1714,-15,0,0,-1,"1700-1759",0,"",269,245,225,1,1605,7,NA,NA,NA,NA,NA
"158605",2020,2,5,29,5,"5/29/2020 12:00:00 AM","AA","N723UW",1845,"PHL","Philadelphia, PA","Pennsylvania",23,"FLL","Fort Lauderdale, FL","Florida",33,1030,1025,-5,0,0,-1,"1000-1059",13,1038,1253,10,1326,1303,-23,0,0,-2,"1300-1359",0,"",176,158,135,1,992,4,NA,NA,NA,NA,NA
"39661",2020,2,5,22,5,"5/22/2020 12:00:00 AM","WN","N7704B",1333,"BNA","Nashville, TN","Tennessee",54,"PNS","Pensacola, FL","Florida",33,1940,1936,-4,0,0,-1,"1900-1959",6,1942,2046,3,2055,2049,-6,0,0,-1,"2000-2059",0,"",75,73,64,1,391,2,NA,NA,NA,NA,NA
"179897",2020,2,5,28,4,"5/28/2020 12:00:00 AM","UA","N69810",704,"IAH","Houston, TX","Texas",74,"EWR","Newark, NJ","New Jersey",21,1900,1900,0,0,0,0,"1900-1959",20,1920,2304,5,2325,2309,-16,0,0,-2,"2300-2359",0,"",205,189,164,1,1400,6,NA,NA,NA,NA,NA
