"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"370691",2021,4,12,17,5,"12/17/2021 12:00:00 AM","UA","N28457",2219,"SJU","San Juan, PR","Puerto Rico",3,"EWR","Newark, NJ","New Jersey",21,205,231,26,26,1,1,"0001-0559",14,245,524,10,510,534,24,24,1,1,"0001-0559",0,"",245,243,219,1,1608,7,9,0,0,0,15
"160743",2021,4,12,12,7,"12/12/2021 12:00:00 AM","G4","332NV",516,"BLI","Bellingham, WA","Washington",93,"AZA","Phoenix, AZ","Arizona",81,830,826,-4,0,0,-1,"0800-0859",14,840,1216,6,1226,1222,-4,0,0,-1,"1200-1259",0,"",176,176,156,1,1208,5,NA,NA,NA,NA,NA
"36982",2021,4,12,27,1,"12/27/2021 12:00:00 AM","WN","N7818L",561,"DEN","Denver, CO","Colorado",82,"PHX","Phoenix, AZ","Arizona",81,1800,1835,35,35,1,2,"1800-1859",12,1847,2038,8,2000,2046,46,46,1,3,"2000-2059",0,"",120,131,111,1,602,3,16,0,11,0,19
"366724",2021,4,12,19,7,"12/19/2021 12:00:00 AM","UA","N38268",670,"DEN","Denver, CO","Colorado",82,"TPA","Tampa, FL","Florida",33,1735,2325,350,350,1,12,"1700-1759",13,2338,435,6,2305,441,336,336,1,12,"2300-2359",0,"",210,196,177,1,1506,7,16,0,0,0,320
"428612",2021,4,12,12,7,"12/12/2021 12:00:00 AM","AA","N809NN",1403,"BWI","Baltimore, MD","Maryland",35,"DFW","Dallas/Fort Worth, TX","Texas",74,700,653,-7,0,0,-1,"0700-0759",9,702,903,16,946,919,-27,0,0,-2,"0900-0959",0,"",226,206,181,1,1217,5,NA,NA,NA,NA,NA
"47552",2021,4,12,16,4,"12/16/2021 12:00:00 AM","YV","N88301",6368,"MFE","Mission/McAllen/Edinburg, TX","Texas",74,"IAH","Houston, TX","Texas",74,515,510,-5,0,0,-1,"0001-0559",11,521,613,12,637,625,-12,0,0,-1,"0600-0659",0,"",82,75,52,1,316,2,NA,NA,NA,NA,NA
"165877",2021,4,12,9,4,"12/9/2021 12:00:00 AM","HA","N218HA",70,"HNL","Honolulu, HI","Hawaii",2,"LGB","Long Beach, CA","California",91,1345,1406,21,21,1,1,"1300-1359",19,1425,2134,7,2115,2141,26,26,1,1,"2100-2159",0,"",330,335,309,1,2569,11,26,0,0,0,0
"486979",2021,4,12,6,1,"12/6/2021 12:00:00 AM","MQ","N236NN",3785,"CLE","Cleveland, OH","Ohio",44,"ORD","Chicago, IL","Illinois",41,1115,1107,-8,0,0,-1,"1100-1159",14,1121,1125,9,1149,1134,-15,0,0,-1,"1100-1159",0,"",94,87,64,1,315,2,NA,NA,NA,NA,NA
"423045",2021,4,12,7,2,"12/7/2021 12:00:00 AM","AA","N864NN",783,"CLT","Charlotte, NC","North Carolina",36,"SJU","San Juan, PR","Puerto Rico",3,1106,1103,-3,0,0,-1,"1100-1159",17,1120,1519,12,1543,1531,-12,0,0,-1,"1500-1559",0,"",217,208,179,1,1475,6,NA,NA,NA,NA,NA
"145124",2021,4,12,11,6,"12/11/2021 12:00:00 AM","DL","N707TW",454,"LAX","Los Angeles, CA","California",91,"BOS","Boston, MA","Massachusetts",13,745,741,-4,0,0,-1,"0700-0759",11,752,1544,37,1611,1621,10,10,0,0,"1600-1659",0,"",326,340,292,1,2611,11,NA,NA,NA,NA,NA
